Entity1,Entity2
source:Conductivity,target:ElectricConductivity
source:Current,target:ElectricCurrentDimension
source:CurrentDensity,target:CurrentDensity
source:ElectricPotential,target:ElectricPotential
source:Equation,target:Equation
source:Gas,target:Gas
source:Liquid,target:Liquid
source:ManufacturingProcess,target:Manufacturing
source:Solvent,target:LiquidSolution
source:Symbol,target:Symbol
source:Vacuum,target:Vacuum
source:Pressure,target:Pressure
source:Temperature,target:ThermodynamicTemperature
source:UnitSystem,target:StandardUnit
source:Dimension_Width,target:hasPhysicalDimension
