Entity2,Entity1
target:Concentration,source:ConcentrationOfSolvent
target:Conduction,source:Conductivity
target:ElectricConductance,source:Conductivity
target:ElectricCurrent,source:Current
target:ElectricCurrentDensity,source:CurrentDensity
target:ElectricCurrentDensityUnit,source:CurrentDensity
target:ElectricCurrentUnit,source:Current
target:GasPhase,source:Gas
target:Irradiance,source:IrradiationEnergy
target:LiquidPhase,source:Liquid
target:NonpolarSolvent,source:Solvent
target:Pressure,source:EnvironmentalPressure
target:Radiation,source:Irradiation
target:Solvent,source:Solvent
target:Temperature,source:EnvironmentalTemperature
target:pH,source:pH
target:Process,source:ManufacturingProcess
