Entity1,Entity2
http://cmt_ar#c-0197956-6725851,http://cmt_pt#c-7018833-2528219
http://cmt_ar#c-0625239-2425775,http://cmt_pt#c-4764666-9064958
http://cmt_ar#c-0634254-3328105,http://cmt_pt#c-4231186-4834671
http://cmt_ar#c-1031803-6530562,http://cmt_pt#c-0552113-4846368
http://cmt_ar#c-1232161-0048624,http://cmt_pt#c-1195022-1778322
http://cmt_ar#c-1708774-9125777,http://cmt_pt#c-8899081-4132080
http://cmt_ar#c-1753052-0526039,http://cmt_pt#c-6350040-2336355
http://cmt_ar#c-2220987-5331821,http://cmt_pt#c-7932947-0055415
http://cmt_ar#c-3101760-6220913,http://cmt_pt#c-1917558-7280420
http://cmt_ar#c-3194825-5346027,http://cmt_pt#c-0141984-6988652
http://cmt_ar#c-3714057-1039146,http://cmt_pt#c-1162044-8230678
http://cmt_ar#c-3930288-3644648,http://cmt_pt#c-6402860-8532598
http://cmt_ar#c-3945225-6300796,http://cmt_pt#c-7462500-2349721
http://cmt_ar#c-4595043-4384026,http://cmt_pt#c-9369865-8568152
http://cmt_ar#c-4901776-6249690,http://cmt_pt#c-0743480-8784777
http://cmt_ar#c-5258810-6413397,http://cmt_pt#c-6903790-9806964
http://cmt_ar#c-5515515-7655801,http://cmt_pt#c-1422675-8824916
http://cmt_ar#c-5605295-3101146,http://cmt_pt#c-2793963-4133936
http://cmt_ar#c-6326453-4709586,http://cmt_pt#c-9560978-7045409
http://cmt_ar#c-6407650-6197378,http://cmt_pt#c-6103454-5591664
http://cmt_ar#c-6855502-1595452,http://cmt_pt#c-1498775-2764289
http://cmt_ar#c-6884283-5550269,http://cmt_pt#c-5144018-1782061
http://cmt_ar#c-7572681-2355237,http://cmt_pt#c-6654404-9710488
http://cmt_ar#c-8335305-4555146,http://cmt_pt#c-5355208-6834878
http://cmt_ar#c-8895015-9423071,http://cmt_pt#c-9180185-1434811
http://cmt_ar#c-9476305-1556488,http://cmt_pt#c-8376130-6378687
http://cmt_ar#c-9541928-7173577,http://cmt_pt#c-7148208-3570710
http://cmt_ar#c-9634422-4066717,http://cmt_pt#c-0659705-1004834
http://cmt_ar#ent-0474024-8645389,http://cmt_pt#ent-0253045-6996442
http://cmt_ar#ent-0888652-2952644,http://cmt_pt#ent-3826115-1371333
http://cmt_ar#ent-1697241-5302844,http://cmt_pt#ent-6564687-6037568
http://cmt_ar#ent-1721348-6878918,http://cmt_pt#ent-8804373-7658198
http://cmt_ar#ent-4299333-0273163,http://cmt_pt#ent-0644197-6160913
