Entity1,Entity2
http://cmt_cz#c-0075317-8076564,http://cmt_es#c-4365365-7749367
http://cmt_cz#c-0128535-7854643,http://cmt_es#c-4051802-3052589
http://cmt_cz#c-0452574-2080354,http://cmt_es#c-6106355-2983413
http://cmt_cz#c-0578733-1857190,http://cmt_es#c-8629068-0675820
http://cmt_cz#c-0754816-7898339,http://cmt_es#c-0796534-0846894
http://cmt_cz#c-2277754-4158396,http://cmt_es#c-2467658-7386622
http://cmt_cz#c-6068065-2346935,http://cmt_es#c-9294907-9737267
http://cmt_cz#c-6084724-9952967,http://cmt_es#c-8220503-4178382
http://cmt_cz#c-6954144-5167465,http://cmt_es#c-0291674-8366353
http://cmt_cz#c-9999501-9567959,http://cmt_es#c-7650337-8286527
http://cmt_cz#ent-8942207-0853588,http://cmt_es#ent-3761315-2509436
http://cmt_cz#op-3249689-5706056,http://cmt_es#op-6616039-5916802
http://cmt_cz#op-5203575-7027520,http://cmt_es#op-0744798-6414057
http://cmt_cz#op-5233762-3966768,http://cmt_es#op-6574318-9367661
