Entity2,Entity1
http://cmt_pt#c-0141984-6988652,http://cmt_es#c-7650337-8286527
http://cmt_pt#c-0659705-1004834,http://cmt_es#c-5380354-4687776
http://cmt_pt#c-1162044-8230678,http://cmt_es#c-0291674-8366353
http://cmt_pt#c-1195022-1778322,http://cmt_es#c-4213390-7190524
http://cmt_pt#c-1422675-8824916,http://cmt_es#c-3335261-0377996
http://cmt_pt#c-2440688-9886376,http://cmt_es#c-0796534-0846894
http://cmt_pt#c-2793963-4133936,http://cmt_es#c-3335261-0377996
http://cmt_pt#c-4764666-9064958,http://cmt_es#c-0082809-9639382
http://cmt_pt#c-5144018-1782061,http://cmt_es#c-7650337-8286527
http://cmt_pt#c-5355208-6834878,http://cmt_es#c-2467658-7386622
http://cmt_pt#c-6103454-5591664,http://cmt_es#c-4365365-7749367
http://cmt_pt#c-6350040-2336355,http://cmt_es#c-0967878-0642860
http://cmt_pt#c-6654404-9710488,http://cmt_es#c-1092610-2413708
http://cmt_pt#c-6903790-9806964,http://cmt_es#c-3087064-8732762
http://cmt_pt#c-7148208-3570710,http://cmt_es#c-8629068-0675820
http://cmt_pt#c-7462500-2349721,http://cmt_es#c-8220503-4178382
http://cmt_pt#c-7932947-0055415,http://cmt_es#c-4762871-9518956
http://cmt_pt#c-8376130-6378687,http://cmt_es#c-6106355-2983413
http://cmt_pt#c-8899081-4132080,http://cmt_es#c-2265323-9937316
http://cmt_pt#c-9180185-1434811,http://cmt_es#c-5587546-6922524
http://cmt_pt#c-9369865-8568152,http://cmt_es#c-2100185-3996442
http://cmt_pt#c-9560978-7045409,http://cmt_es#c-6685331-8774185
http://cmt_pt#ent-0644197-6160913,http://cmt_es#ent-7984580-6454643
http://cmt_pt#ent-0934943-2544552,http://cmt_es#ent-8877404-2617733
http://cmt_pt#ent-1352346-3282739,http://cmt_es#ent-3754849-8056703
http://cmt_pt#ent-1908272-0416725,http://cmt_es#ent-4387366-7102189
http://cmt_pt#ent-3826115-1371333,http://cmt_es#ent-1446461-5273541
http://cmt_pt#ent-4599058-1382143,http://cmt_es#ent-3761315-2509436
http://cmt_pt#ent-6564687-6037568,http://cmt_es#ent-8701513-4965161
http://cmt_pt#ent-8097080-4619374,http://cmt_es#ent-8877404-2617733
http://cmt_pt#op-0086172-2648814,http://cmt_es#op-6659285-2195902
http://cmt_pt#op-0496809-3338517,http://cmt_es#op-7867139-3426802
http://cmt_pt#op-0905368-2508982,http://cmt_es#op-1585272-3248977
http://cmt_pt#op-1234183-7097522,http://cmt_es#op-8441479-8261009
http://cmt_pt#op-1365421-7214392,http://cmt_es#op-5970282-7800412
http://cmt_pt#op-1542767-1179760,http://cmt_es#op-4167904-1008842
http://cmt_pt#op-2457623-9139519,http://cmt_es#op-5310651-2660955
http://cmt_pt#op-2603095-7051900,http://cmt_es#op-7319720-1806186
http://cmt_pt#op-2664340-1801609,http://cmt_es#op-8804641-3598090
http://cmt_pt#op-2746367-4875759,http://cmt_es#op-1963067-7985851
http://cmt_pt#op-2894081-0130144,http://cmt_es#op-4928266-4640200
http://cmt_pt#op-3212198-3697452,http://cmt_es#op-2296888-5209218
http://cmt_pt#op-4234220-2157998,http://cmt_es#op-7904286-5507452
http://cmt_pt#op-4257914-4783916,http://cmt_es#op-3859449-7649783
http://cmt_pt#op-4295656-1951781,http://cmt_es#op-1964778-5426203
http://cmt_pt#op-4893753-7102848,http://cmt_es#op-4246183-6784512
http://cmt_pt#op-5069880-9811640,http://cmt_es#op-6616039-5916802
http://cmt_pt#op-5460137-1245372,http://cmt_es#op-0521685-2125451
http://cmt_pt#op-5491548-2845518,http://cmt_es#op-6140520-7321763
http://cmt_pt#op-5517613-9784506,http://cmt_es#op-9760078-3705917
http://cmt_pt#op-5909672-0334701,http://cmt_es#op-8352206-6259650
http://cmt_pt#op-6510466-1708250,http://cmt_es#op-4246183-6784512
http://cmt_pt#op-6694831-3793031,http://cmt_es#op-6509924-1214179
http://cmt_pt#op-6983859-3703093,http://cmt_es#op-0521685-2125451
http://cmt_pt#op-7155112-0096874,http://cmt_es#op-5310651-2660955
http://cmt_pt#op-7177245-4720247,http://cmt_es#op-2296888-5209218
http://cmt_pt#op-7580343-5764136,http://cmt_es#op-5153804-1514666
http://cmt_pt#op-7804258-2492907,http://cmt_es#op-3955250-7730265
http://cmt_pt#op-7991089-8148208,http://cmt_es#op-7904286-5507452
http://cmt_pt#op-8440175-0779015,http://cmt_es#op-9760078-3705917
http://cmt_pt#op-8802204-7734863,http://cmt_es#op-7247666-5945614
http://cmt_pt#op-8963398-6546222,http://cmt_es#op-0744798-6414057
http://cmt_pt#op-9517020-6504507,http://cmt_es#op-8804641-3598090
http://cmt_pt#op-9517020-6504507,http://cmt_es#op-9728576-3922788
http://cmt_pt#op-9619338-6666102,http://cmt_es#op-5087514-6097696
