Entity1,Entity2
http://cmt_es#c-0291674-8366353,http://cmt_ru#c-4846170-9804375
http://cmt_es#c-0796534-0846894,http://cmt_ru#c-4901384-1452373
http://cmt_es#c-0967878-0642860,http://cmt_ru#c-2394876-1588025
http://cmt_es#c-1092610-2413708,http://cmt_ru#c-8140011-4675339
http://cmt_es#c-2100185-3996442,http://cmt_ru#c-7977088-3410524
http://cmt_es#c-2265323-9937316,http://cmt_ru#c-0431702-9352529
http://cmt_es#c-2467658-7386622,http://cmt_ru#c-3696081-5776907
http://cmt_es#c-3087064-8732762,http://cmt_ru#c-5701994-2128478
http://cmt_es#c-3335261-0377996,http://cmt_ru#c-2009116-5703380
http://cmt_es#c-4051802-3052589,http://cmt_ru#c-7528802-8793845
http://cmt_es#c-4365365-7749367,http://cmt_ru#c-5374498-2488870
http://cmt_es#c-4762871-9518956,http://cmt_ru#c-8743351-7621853
http://cmt_es#c-5380354-4687776,http://cmt_ru#c-5213926-1265113
http://cmt_es#c-6106355-2983413,http://cmt_ru#c-1200416-1719045
http://cmt_es#c-8019834-6089135,http://cmt_ru#c-3253065-3482461
http://cmt_es#c-8220503-4178382,http://cmt_ru#c-9572951-5457499
http://cmt_es#ent-3754849-8056703,http://cmt_ru#ent-1959932-4309624
http://cmt_es#ent-3761315-2509436,http://cmt_ru#ent-5354486-6390562
http://cmt_es#ent-4219000-3514538,http://cmt_ru#ent-2284473-2935529
http://cmt_es#ent-4370159-8606193,http://cmt_ru#ent-6860606-5339895
http://cmt_es#ent-4387366-7102189,http://cmt_ru#ent-5572805-1098327
http://cmt_es#ent-8877404-2617733,http://cmt_ru#ent-9926005-7349993
http://cmt_es#op-0521685-2125451,http://cmt_ru#op-7551185-7738136
http://cmt_es#op-0744798-6414057,http://cmt_ru#op-9639505-8922506
http://cmt_es#op-1079227-8198002,http://cmt_ru#op-1083402-1771371
http://cmt_es#op-1585272-3248977,http://cmt_ru#op-0734264-3785594
http://cmt_es#op-1963067-7985851,http://cmt_ru#op-7001176-3880025
http://cmt_es#op-1964778-5426203,http://cmt_ru#op-6875576-8732585
http://cmt_es#op-3834467-7078110,http://cmt_ru#op-0248595-8765277
http://cmt_es#op-4928266-4640200,http://cmt_ru#op-8696871-2036393
http://cmt_es#op-5084704-5721031,http://cmt_ru#op-1571552-8169674
http://cmt_es#op-5153804-1514666,http://cmt_ru#op-2513795-1563947
http://cmt_es#op-6616039-5916802,http://cmt_ru#op-1115483-1560386
http://cmt_es#op-7247666-5945614,http://cmt_ru#op-5350425-1940234
http://cmt_es#op-7319720-1806186,http://cmt_ru#op-1785777-4419267
http://cmt_es#op-7904286-5507452,http://cmt_ru#op-7518378-0077697
http://cmt_es#op-8804641-3598090,http://cmt_ru#op-4515232-8202439
http://cmt_es#op-9760078-3705917,http://cmt_ru#op-3183932-3428720
