Entity2,Entity1
http://cmt_ar#c-3194825-5346027,http://cmt_fr#c-6282668-8946550
http://cmt_ar#c-3714057-1039146,http://cmt_fr#c-6515186-6166981
http://cmt_ar#c-3930288-3644648,http://cmt_fr#c-2745207-1642565
http://cmt_ar#c-3945225-6300796,http://cmt_fr#c-3962194-2541126
http://cmt_ar#c-4595043-4384026,http://cmt_fr#c-5886865-8763032
http://cmt_ar#c-4901776-6249690,http://cmt_fr#c-9412558-6009078
http://cmt_ar#c-8335305-4555146,http://cmt_fr#c-0480911-0003886
http://cmt_ar#c-9634422-4066717,http://cmt_fr#c-2745207-1642565
http://cmt_ar#ent-1697241-5302844,http://cmt_fr#ent-4761498-2044262
http://cmt_ar#ent-1721348-6878918,http://cmt_fr#ent-7490112-7877912
http://cmt_ar#ent-4299333-0273163,http://cmt_fr#ent-7278298-5023089
http://cmt_ar#ent-6395384-0777412,http://cmt_fr#ent-8219716-4961949
http://cmt_ar#ent-6629428-4947742,http://cmt_fr#ent-9275526-7398528
http://cmt_ar#op-1942381-2978009,http://cmt_fr#op-6499331-0925740
http://cmt_ar#op-3738146-7132581,http://cmt_fr#op-9859591-8891558
http://cmt_ar#op-3998076-6312950,http://cmt_fr#op-4935244-2451760
http://cmt_ar#op-4915323-2210432,http://cmt_fr#op-8484350-3429635
http://cmt_ar#op-5074777-6797175,http://cmt_fr#op-3676239-0431045
http://cmt_ar#op-6389051-2982777,http://cmt_fr#op-5536003-6834447
http://cmt_ar#op-6683020-8838246,http://cmt_fr#op-3407046-2338151
http://cmt_ar#op-6930500-2740802,http://cmt_fr#op-3821472-6823797
http://cmt_ar#op-7141547-2558957,http://cmt_fr#op-3821472-6823797
http://cmt_ar#op-7987969-7509674,http://cmt_fr#op-6616205-9179416
