entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_cz#c-0075317-8076564,Source,Class,konference,"The term ""konference"" appears to be a variation or misspelling of ""conference."" In the context of a conference, it refers to a formal meeting or gathering where individuals come together to discuss specific topics, share information, and collaborate. Conferences can vary in size and purpose, ranging from academic and professional gatherings to industry-specific events.","Here are the verbalized phrases based on the provided triples:

1. ""Akceptovány příspěvky konference pro tisk"" se vztahují k doméně ""konference"".
2. ""Brožury vytištěny kým"" se vztahují k doméně ""konference"".
3. ""Datum konference"" se vztahuje k doméně ""konference"".
4. ""Dokončit přidělení příspěvků konference"" se vztahuje k rozsahu ""konference"".
5. ""Konference má recenzí na článek"" se vztahuje k doméně ""konference"".
6. ""Logo konference má URL"" se vztahuje k doméně ""konference"".
7. ""Má člena konference"" se vztahuje k doméně ""konference"".
8. ""Nástroj pro přídělení příspěvků spuštěn kým"" se vztahuje k doméně ""konference"".
9. ""Podrobnosti vloženy kým"" se vztahují k doméně ""konference"".
10. ""Přidělení příspěvků dokončeno kým"" se vztahuje k doméně ""konference"".
11. ""Spustil přidělování článků konference"" se vztahuje k rozsahu ""konference"".
12. ""Tisk brožur konference"" se vztahuje k rozsahu ""konference"".
13. ""Umožnit virtuální schůzku konferenci"" se vztahuje k rozsahu ""konference"".
14. ""Virtuální schůzka konference umožněna kým"" se vztahuje k doméně ""konference"".
15. ""Vložit kritéria recenze"" se vztahuje k rozsahu ""konference"".
16. ""Vložit podrobnosti konference"" se vztahuje k rozsahu ""konference"".
17. ""Vyjadření zájmu spuštěno kým"" se vztahuje k doméně ""konference"".
18. ""Webová stránka konference má URL"" se vztahuje k doméně ""konference"".
19. ""Zadání kritérií recenzí kým"" se vztahuje k doméně ""konference"".
20. ""Zahájil vyjadřování zájmu recenzentů"" se vztahuje k rozsahu ""konference"".
21. ""Člen konference"" se vztahuje k rozsahu ""konference"".
22. ""Konference"" je v rozporu s ""dokumentem"", ""osobou"", ""preferencí"", ""programovým výborem"", ""rozhodnutím"" a ""vyjádřením zájmu"".The subgraph describes a structured representation of a concept related to conferences, specifically focusing on certain restrictions and properties associated with them. 

1. **Classes and Subclasses**: The main class is ""konference"" (conference), which is defined as a subclass of three restrictions. These restrictions impose specific conditions on the properties that a conference must have.

2. **Restrictions**: 
   - The first restriction requires that a conference must have a property called ""datum konference"" (conference date) with a minimum cardinality of 1, meaning that every conference must have at least one date associated with it.
   - The second restriction specifies that a conference must have a property called ""má jméno"" (has a name), also with a minimum cardinality of 1, indicating that every conference must have a name.
   - The third restriction relates to the property ""konference má recenzí na článek"" (conference has a review on an article), which is also part of the conditions for the conference class.

3. **Domain and Cardinality**: The property ""má jméno"" is defined to have a domain of a class that is represented in the subgraph. Each of the restrictions has a cardinality of 1, reinforcing that each conference must meet these criteria.

4. **Structure**: The subgraph is organized in a way that shows the relationships between the conference class and its properties, as well as the restrictions that govern these properties. The structure indicates that the properties and restrictions are interconnected, forming a cohesive definition of what constitutes a conference in this context.

In summary, the subgraph outlines the necessary properties and restrictions that define a conference, emphasizing the importance of having a name, a date, and a review associated with it, while also establishing the relationships between these elements."
http://cmt_cz#c-0128535-7854643,Source,Class,autor kter nen recenzent,"In the context of a conference, ""autor který není recenzent"" translates from Czech to ""author who is not a reviewer."" This typically refers to a situation where an individual has submitted a paper or presentation for consideration but is not involved in the peer review process for other submissions. This distinction is important in academic conferences, as it helps clarify roles and responsibilities, ensuring that authors can focus on their own work while reviewers assess the submissions of others.","The phrase can be verbalized as follows:

""The class of 'authors who are not reviewers' is a subclass of 'authors' and is disjoint with both 'reviewers' and 'members of the program committee'."""
http://cmt_cz#c-0452574-2080354,Source,Class,dokument,"In the context of a conference, ""dokument"" typically refers to a document or written material that is presented, shared, or discussed during the event. This could include research papers, presentations, agendas, minutes, or any other formal written content that contributes to the conference proceedings. It serves as a record of the information shared and can be used for reference by attendees.","Here are the verbalized phrases based on the provided triples:

1. The class ""konference"" is disjoint with the class ""dokument,"" meaning that they do not share any common instances.
   
2. The property ""má konflikt zájmu s příspěvkem"" has a range that is defined as the class ""dokument,"" indicating that this property applies to instances of documents.

3. The class ""recenze"" is a subclass of the class ""dokument,"" which means that every instance of ""recenze"" is also an instance of ""dokument.""

4. The class ""článek"" is a subclass of the class ""dokument,"" indicating that every instance of ""článek"" is also an instance of ""dokument.""

5. The class ""dokument"" is disjoint with the classes ""osoba,"" ""preference,"" ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu,"" meaning that instances of ""dokument"" cannot be instances of any of these other classes."
http://cmt_cz#c-0578733-1857190,Source,Class,osoba,"In the context of a conference, ""osoba"" is a term from the Polish language that translates to ""person"" in English. It may refer to an individual attending the conference, such as a speaker, participant, or organizer. Understanding this term can be important for networking and communication during the event.","Here are the verbalized phrases based on the provided triples:

1. The class ""dokument"" is disjoint with the class ""osoba.""
2. The class ""externí recenzent"" is a subclass of the class ""osoba.""
3. The class ""konference"" is disjoint with the class ""osoba.""
4. The property ""má email"" has the domain ""osoba.""
5. The property ""má konflikt zájmu s příspěvkem"" has the domain ""osoba.""
6. The class ""osoba s účastí na konferenci"" is a subclass of the class ""osoba.""
7. The class ""předseda"" is a subclass of the class ""osoba.""
8. The class ""uživatel"" is a subclass of the class ""osoba.""
9. The class ""člen programového výboru"" is a subclass of the class ""osoba.""
10. The class ""osoba"" is disjoint with the classes ""preference,"" ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu.""The subgraph describes a structure related to a class in a domain. It begins with the statement ""má jméno,"" which translates to ""has a name."" This name is associated with a specific class identified by the blank node _:Na9d53dfc6f77456caf062e873320bb64. 

This class is defined as a union of two elements: the first element is ""konference,"" which translates to ""conference,"" and the second element is ""osoba,"" meaning ""person."" The structure indicates that the class is composed of these two elements, with ""konference"" being the first element and ""osoba"" being the subsequent element in the list. 

The subgraph also indicates that the last element in the list is ""nil,"" suggesting that there are no further elements following ""osoba."" Overall, the description outlines a class that encompasses both conferences and persons, highlighting their relationship within the defined domain."
http://cmt_cz#c-0754816-7898339,Source,Class,preference,"In the context of a conference, ""preference"" refers to the choices or inclinations of attendees regarding various aspects of the event. This could include preferences for specific sessions or topics they wish to attend, preferred speakers, networking opportunities, or even logistical aspects such as meal options or seating arrangements. Understanding these preferences can help organizers tailor the conference experience to better meet the needs and interests of participants, ultimately enhancing engagement and satisfaction.","Here are the verbalized phrases for the given triples:

1. ""Dokument is disjoint with preference.""
2. ""Konference is disjoint with preference.""
3. ""Osoba is disjoint with preference.""
4. ""Preference is disjoint with programový výbor.""
5. ""Preference is disjoint with rozhodnutí.""
6. ""Preference is disjoint with vyjádření zájmu."""
http://cmt_cz#c-0978466-4762816,Source,Class,p edm tn oblast,"In the context of a conference, ""předmětná oblast"" translates to ""subject area"" or ""topic area."" It refers to the specific field or domain of discussion that the conference is focused on, encompassing the themes, issues, or topics that will be addressed during the event.","The phrase can be verbalized as: ""The subject matter pertains to the thematic area."""
http://cmt_cz#c-1109430-9892691,Source,Class,p edseda,"In the context of a conference, ""předseda"" is a Czech term that translates to ""chairman"" or ""chairperson"" in English. It refers to the individual who presides over the conference, leading discussions, managing the agenda, and ensuring that the proceedings run smoothly.","The phrase can be verbalized as: ""The class 'předseda' is a subclass of the class 'osoba'.""The subgraph describes a structured relationship among various roles and classifications within a conference or organizational context. 

1. **Roles and Titles**: 
   - The role of ""recenzent"" (reviewer) is associated with an individual represented by the identifier `_:Nd7096d80abac4b389c9515b94f8910ac`.
   - The title ""předseda"" (chair) is linked to another individual identified as `_:N05b3df17a5704d949efd3afc37c89157`.
   - The role of ""spolupředseda"" (co-chair) is associated with the identifier `_:N0be590e6abf94c47995e86a350bdb8c5`.
   - The title ""předseda konference"" (conference chair) is linked to `_:N8c294f64803d4d4d8f788fb2916a4b59`.
   - The role of ""autor"" (author) is represented by `_:Nf10f125366ee423ea2e5faffe384945e`.
   - The title ""předseda programového výboru"" (chair of the program committee) is associated with `_:N3a1f03d647a24cf8853611fb736dbe05`.

2. **Relationships**:
   - The ""předseda"" (chair) is linked to the ""autor"" (author) as part of a sequence of roles.
   - The ""spolupředseda"" (co-chair) is also connected to the ""předseda"" (chair) in a similar manner.
   - The ""předseda konference"" (conference chair) is part of a chain that includes the ""spolupředseda"" (co-chair) and the ""autor"" (author).

3. **Classifications**:
   - The roles of ""předseda"" (chair) and ""spolupředseda"" (co-chair) are classified under a common type labeled as ""Class"", which is further defined by the identifier `_:N890709ddf36c4b72aac332a5cbf7ff5d`.
   - The ""předseda"" (chair) is also defined as an equivalent class to another classification represented by `_:N2a491ff70c4e48da85c9c5331a026bed`.

4. **Conflict of Interest**:
   - There is a mention of a ""conflict of interest"" associated with the domain identified by `_:N890709ddf36c4b72aac332a5cbf7ff5d`, indicating that this may be a relevant concern within the context of the roles and relationships described.

Overall, the subgraph outlines a hierarchy of roles within a conference setting, detailing the relationships between various titles and their classifications, while also noting the potential for conflicts of interest."
http://cmt_cz#c-1435667-7309116,Source,Class,dn l nek,"In the context of a conference, ""řádný článek"" translates to ""regular article"" in English. It typically refers to a formal written piece that is presented or published as part of the conference proceedings. This could include research findings, theoretical discussions, or reviews that contribute to the academic discourse within the conference's theme. Regular articles are usually peer-reviewed and are expected to meet specific standards of quality and relevance to the conference audience.","The phrase can be verbalized as: ""The class 'řádný článek' is a subclass of the class 'článek'."""
http://cmt_cz#c-1710596-1174205,Source,Class,vyj d en z jmu,"""Vyjádření zájmu"" translates to ""expression of interest"" in English. In the context of a conference, it typically refers to a formal indication from individuals or organizations that they are interested in participating in the event, whether as attendees, speakers, sponsors, or collaborators. This expression of interest can help organizers gauge potential participation and tailor the conference to meet the needs and expectations of those interested.","Here are the verbalized phrases based on the provided triples:

1. ""Dokument is disjoint with vyjádření zájmu.""
2. ""Konference is disjoint with vyjádření zájmu.""
3. ""Má vyjádření zájmu has a range of vyjádření zájmu.""
4. ""Osoba is disjoint with vyjádření zájmu.""
5. ""Preference is disjoint with vyjádření zájmu.""
6. ""Upravit vyjádření zájmu has a range of vyjádření zájmu.""
7. ""Vyjádření zájmu upraveno has a domain of vyjádření zájmu.""
8. ""Vyjádření zájmu is disjoint with programový výbor.""
9. ""Vyjádření zájmu is disjoint with rozhodnutí."""
http://cmt_cz#c-2063214-6676250,Source,Class,spolup edseda,"In the context of a conference, ""spolupředseda"" is a Czech term that translates to ""co-chair"" in English. It refers to an individual who shares the leadership responsibilities of a conference or meeting with another person, helping to facilitate discussions, manage the agenda, and ensure that the event runs smoothly.","The term ""spolupředseda"" is a subclass of ""osoba s účastí na konferenci"" and is disjoint with ""předseda konference.""The subgraph describes a hierarchical structure related to a conference's leadership roles. At the top level, there is a class that represents a type of entity, specifically a ""Class."" This class is associated with a union of elements, one of which is identified by a unique identifier. 

Within this structure, there are several roles listed. The first role is ""spolupředseda"" (which translates to ""co-chair""), followed by ""předseda konference"" (meaning ""chair of the conference"") and ""předseda programového výboru"" (which translates to ""chair of the program committee""). 

The relationships between these roles are defined using the terms ""first"" and ""rest."" The ""first"" indicates the primary role in a sequence, while ""rest"" indicates subsequent roles. The ""rest"" of the first role leads to the second role, and the second role continues to the third, with the final role being linked to a nil value, indicating the end of the sequence.

Additionally, there is an equivalence established between the role of ""předseda"" (chair) and the class defined earlier, suggesting that the chair role is a specific instance of the broader class. 

In summary, this subgraph outlines a structured representation of leadership roles within a conference, detailing their relationships and classifications."
