entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://cmt_cz#c-0075317-8076564,Source,Class,konference,"The term ""konference"" appears to be a variation or misspelling of ""conference."" In the context of a conference, it refers to a formal meeting or gathering where individuals come together to discuss specific topics, share information, and collaborate. Conferences can be academic, professional, or industry-specific, and they often include presentations, workshops, and networking opportunities.","Here are the verbalized phrases based on the provided triples:

1. ""Akceptovány příspěvky konference pro tisk"" se vztahují k doméně ""konference"".
2. ""Brožury vytištěny kým"" se vztahují k doméně ""konference"".
3. ""Datum konference"" se vztahuje k doméně ""konference"".
4. ""Dokončit přidělení příspěvků konference"" se vztahuje k rozsahu ""konference"".
5. ""Konference má recenzí na článek"" se vztahuje k doméně ""konference"".
6. ""Logo konference má URL"" se vztahuje k doméně ""konference"".
7. ""Má člena konference"" se vztahuje k doméně ""konference"".
8. ""Nástroj pro přidělení příspěvků spuštěn kým"" se vztahuje k doméně ""konference"".
9. ""Podrobnosti vloženy kým"" se vztahují k doméně ""konference"".
10. ""Přidělení příspěvků dokončeno kým"" se vztahuje k doméně ""konference"".
11. ""Spustil přidělování článků konference"" se vztahuje k rozsahu ""konference"".
12. ""Tisk brožur konference"" se vztahuje k rozsahu ""konference"".
13. ""Umožnit virtuální schůzku konferenci"" se vztahuje k rozsahu ""konference"".
14. ""Virtuální schůzka konference umožněna kým"" se vztahuje k doméně ""konference"".
15. ""Vložit kritéria recenze"" se vztahuje k rozsahu ""konference"".
16. ""Vložit podrobnosti konference"" se vztahuje k rozsahu ""konference"".
17. ""Vyjadření zájmu spuštěno kým"" se vztahuje k doméně ""konference"".
18. ""Webová stránka konference má URL"" se vztahuje k doméně ""konference"".
19. ""Zadání kritérií recenzí kým"" se vztahuje k doméně ""konference"".
20. ""Zahájil vyjadřování zájmu recenzentů"" se vztahuje k rozsahu ""konference"".
21. ""Člen konference"" se vztahuje k rozsahu ""konference"".
22. ""Konference"" je v rozporu s ""dokumentem"", ""osobou"", ""preferencí"", ""programovým výborem"", ""rozhodnutím"" a ""vyjádřením zájmu"".The subgraph describes a structured relationship involving a class called ""konference"" (conference) and its properties. Here’s a natural language description of the subgraph:

1. The entity ""konference"" is defined as a subclass of two restrictions, indicating that it inherits certain properties from these restrictions.
2. One of the restrictions specifies that ""konference"" must have exactly one associated property called ""má jméno"" (has name), which is linked to a class that represents individuals (osoba).
3. The restriction on ""má jméno"" also indicates that it must have a minimum cardinality of one, meaning every instance of ""konference"" must have a name.
4. Additionally, ""konference"" is associated with another property called ""datum konference"" (date of conference), which also has a minimum cardinality of one, ensuring that every conference must have a date.
5. The structure also includes a union of classes, where ""konference"" is the first element, and it is followed by a nil value, indicating the end of the list.

In summary, the subgraph outlines that every conference must have a name and a date, and it is categorized under specific restrictions that define these properties."
http://cmt_cz#c-0128535-7854643,Source,Class,autor kter nen recenzent,"In the context of a conference, ""autor který není recenzent"" translates from Czech to ""author who is not a reviewer."" This typically refers to a situation where an individual has submitted a paper or presentation for consideration but is not involved in the peer review process for other submissions. This distinction is important in academic conferences, as it helps clarify roles and responsibilities, ensuring that authors can focus on their own work while reviewers assess the submissions of others.","The phrase can be verbalized as follows:

""The class of 'authors who are not reviewers' is a subclass of 'authors' and is disjoint with both 'reviewers' and 'members of the program committee'."""
http://cmt_cz#c-0452574-2080354,Source,Class,dokument,"In the context of a conference, ""dokument"" typically refers to a document or written material that is shared or presented during the event. This could include papers, presentations, reports, or any other form of documentation that provides information, outlines topics, or supports discussions relevant to the conference's themes or objectives.","1. The term ""konference"" is disjoint with the term ""dokument,"" meaning they cannot overlap in meaning or classification.

2. The phrase ""má konflikt zájmu s příspěvkem"" has a range that is defined as ""dokument,"" indicating that it pertains to or is applicable within the context of documents.

3. The term ""recenze"" is a subclass of ""dokument,"" meaning that every instance of ""recenze"" is also an instance of ""dokument.""

4. The term ""článek"" is a subclass of ""dokument,"" indicating that every instance of ""článek"" is also classified as a ""dokument.""

5. The term ""dokument"" is disjoint with the terms ""osoba,"" ""preference,"" ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu,"" meaning that ""dokument"" cannot be classified as any of these other terms."
http://cmt_cz#c-0578733-1857190,Source,Class,osoba,"In the context of a conference, ""osoba"" is a term from the Polish language that translates to ""person"" in English. It may refer to an individual attending the conference, such as a speaker, participant, or organizer. Understanding this term can be important for networking and communication during the event.","Here are the verbalized phrases based on the provided triples:

1. The class ""dokument"" is disjoint with the class ""osoba.""
2. The class ""externí recenzent"" is a subclass of the class ""osoba.""
3. The class ""konference"" is disjoint with the class ""osoba.""
4. The property ""má email"" has the domain ""osoba.""
5. The property ""má konflikt zájmu s příspěvkem"" has the domain ""osoba.""
6. The class ""osoba s účastí na konferenci"" is a subclass of the class ""osoba.""
7. The class ""předseda"" is a subclass of the class ""osoba.""
8. The class ""uživatel"" is a subclass of the class ""osoba.""
9. The class ""člen programového výboru"" is a subclass of the class ""osoba.""
10. The class ""osoba"" is disjoint with the classes ""preference,"" ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu.""The subgraph describes a relationship involving a class and its elements. It indicates that there is a class, identified by a unique identifier, which is associated with the term ""osoba"" (meaning ""person"" in Czech). This class is defined as a union of another entity, which is also identified by a unique identifier. 

Within this union, the first element is ""konference"" (meaning ""conference"" in Czech), and it has a rest element that points to another entity identified by a different unique identifier. This rest element is noted to be ""nil,"" indicating that there are no further elements in this particular sequence.

Additionally, the term ""má jméno"" (meaning ""has name"" in Czech) is associated with the class, suggesting that it has a name or identifier related to it. Overall, the structure outlines a class that represents a union of elements, with specific references to a person and a conference."
http://cmt_cz#c-0754816-7898339,Source,Class,preference,"In the context of a conference, ""preference"" refers to the choices or inclinations of attendees regarding various aspects of the event. This could include preferences for specific sessions or topics they wish to attend, preferred speakers, networking opportunities, or even logistical aspects such as meal options or seating arrangements. Understanding these preferences can help organizers tailor the conference experience to better meet the needs and interests of participants, ultimately enhancing engagement and satisfaction.","1. The class ""dokument"" is disjoint with the class ""preference.""
2. The class ""konference"" is disjoint with the class ""preference.""
3. The class ""osoba"" is disjoint with the class ""preference.""
4. The class ""preference"" is disjoint with the classes ""programový výbor,"" ""rozhodnutí,"" and ""vyjádření zájmu."""
http://cmt_cz#c-0978466-4762816,Source,Class,p edm tn oblast,"In the context of a conference, ""předmětná oblast"" translates to ""subject area"" or ""topic area."" It refers to the specific field or domain of discussion that the conference is focused on. This could encompass various themes, issues, or topics relevant to the conference's purpose, guiding the presentations, discussions, and research shared among participants.","The phrase can be verbalized as: ""The subject matter pertains to the thematic area."""
http://cmt_cz#c-1109430-9892691,Source,Class,p edseda,"In the context of a conference, ""předseda"" is a Czech term that translates to ""chairman"" or ""chairperson"" in English. It refers to the individual who presides over the conference, leading discussions, managing the agenda, and ensuring that the proceedings run smoothly.","The phrase can be verbalized as: ""The class 'předseda' is a subclass of the class 'osoba'.""The subgraph describes a structured relationship among various entities, primarily focusing on roles and classifications within a specific context, likely related to a committee or organizational structure.

1. **Classes and Equivalents**: The term ""předseda"" (which translates to ""chairman"" in English) is identified as an equivalent class to a defined class represented by a unique identifier. This indicates that ""předseda"" is a specific instance or role within a broader classification.

2. **Roles and Relationships**: The graph outlines several roles:
   - The ""recenzent"" (reviewer) is the first entity in a sequence, suggesting a hierarchy or order of roles.
   - The ""autor"" (author) follows the ""recenzent,"" indicating a relationship where the author may be the one whose work is being reviewed.
   - The ""předseda"" is also the first in another sequence, indicating a leading role, while the ""předseda programového výboru"" (chairman of the program committee) and ""předseda konference"" (chairman of the conference) are subsequent roles, suggesting a structured committee hierarchy.

3. **Union of Classes**: There are references to unions of classes, indicating that certain roles or entities may belong to multiple categories or groups. For instance, the class associated with ""označil konflikt zájmu"" (identified a conflict of interest) is part of a union, suggesting it encompasses various related roles or responsibilities.

4. **Sequential Structure**: The use of ""first"" and ""rest"" indicates a list-like structure where entities are organized in a sequence. For example, the ""předseda"" is the first in one list, followed by the ""autor,"" and similarly, the ""spolupředseda"" (co-chair) follows the ""předseda konference.""

In summary, the subgraph illustrates a complex network of roles and classifications within an organizational framework, highlighting the relationships and hierarchies among various positions such as chairpersons, authors, reviewers, and committee members."
http://cmt_cz#c-1435667-7309116,Source,Class,dn l nek,"In the context of a conference, ""řádný článek"" translates to ""regular article"" in English. It typically refers to a formal written piece that is presented or published as part of the conference proceedings. This could include research findings, theoretical discussions, or reviews that contribute to the academic discourse within the conference's theme. Regular articles are usually peer-reviewed and are expected to meet specific standards of quality and relevance to the conference audience.","The phrase can be verbalized as: ""The class 'řádný článek' is a subclass of the class 'článek'."""
http://cmt_cz#c-1710596-1174205,Source,Class,vyj d en z jmu,"""Vyjádření zájmu"" translates to ""expression of interest"" in English. In the context of a conference, it typically refers to a formal indication from individuals or organizations that they are interested in participating, attending, or contributing to the event. This could involve submitting proposals for presentations, workshops, or other forms of engagement, signaling their intent to be involved in the conference activities.","Here are the verbalized phrases based on the provided triples:

1. ""Dokument is disjoint with vyjádření zájmu.""
2. ""Konference is disjoint with vyjádření zájmu.""
3. ""Má vyjádření zájmu has a range of vyjádření zájmu.""
4. ""Osoba is disjoint with vyjádření zájmu.""
5. ""Preference is disjoint with vyjádření zájmu.""
6. ""Upravit vyjádření zájmu has a range of vyjádření zájmu.""
7. ""Vyjádření zájmu upraveno has a domain of vyjádření zájmu.""
8. ""Vyjádření zájmu is disjoint with programový výbor.""
9. ""Vyjádření zájmu is disjoint with rozhodnutí."""
http://cmt_cz#c-2063214-6676250,Source,Class,spolup edseda,"In the context of a conference, ""spolupředseda"" is a Czech term that translates to ""co-chair"" in English. It refers to an individual who shares the leadership responsibilities of the conference with another chairperson. The co-chair typically assists in organizing the event, facilitating discussions, and ensuring that the conference runs smoothly alongside the main chair.","The term ""spolupředseda"" is a subclass of ""osoba s účastí na konferenci"" and is disjoint with ""předseda konference.""The subgraph describes a classification and relationship structure involving the term ""předseda,"" which translates to ""chairperson"" in English. 

1. The term ""předseda"" is identified as an equivalent class to a specific class represented by the identifier '_:Nc8653f16f8184f0d8b8e246df692a1da'.
2. Within this structure, there is a sequence of roles or titles. The first title is ""předseda programového výboru,"" which means ""chairperson of the program committee."" 
3. Following this, there is another title, ""předseda konference,"" meaning ""chairperson of the conference."" 
4. The sequence of titles is organized in a linked manner, where the first title leads to the next, and the last title in this sequence is linked to ""nil,"" indicating the end of the list.
5. Additionally, the class represented by '_:Nc8653f16f8184f0d8b8e246df692a1da' is defined as a union of another class identified by '_:N7ddb09caf0ee49fea0ddb7650cdc5f52'.
6. The class '_:N7ddb09caf0ee49fea0ddb7650cdc5f52' includes ""spolupředseda,"" which translates to ""co-chair,"" and is linked to the previously mentioned titles.

In summary, the subgraph outlines a classification of the term ""předseda"" and its equivalent class, along with a structured list of related titles, including roles such as chairperson of a program committee and conference, culminating in the concept of a co-chair."
