Entity1,Entity2
http://cmt_cz#c-0075317-8076564,http://conference_fr#c-1144806-8351930
http://cmt_cz#c-0075317-8076564,http://conference_fr#c-6346146-1101677
http://cmt_cz#c-0452574-2080354,http://conference_fr#c-1108433-7666814
http://cmt_cz#c-0578733-1857190,http://conference_fr#c-3342042-5675432
http://cmt_cz#c-0754816-7898339,http://conference_fr#c-8814232-6110180
http://cmt_cz#c-0978466-4762816,http://conference_fr#c-6304664-2224275
http://cmt_cz#c-1109430-9892691,http://conference_fr#c-7424381-8262219
http://cmt_cz#c-2277754-4158396,http://conference_fr#c-3535216-5991853
http://cmt_cz#c-4568940-5424482,http://conference_fr#c-7927276-9805022
http://cmt_cz#c-4568940-5424482,http://conference_fr#c-4135905-5575108
http://cmt_cz#c-5395109-0887878,http://conference_fr#c-3916069-3610053
http://cmt_cz#c-5802603-8520876,http://conference_fr#c-4658574-0728050
http://cmt_cz#c-6954144-5167465,http://conference_fr#c-2137518-8698390
http://cmt_cz#ent-8942207-0853588,http://conference_fr#ent-4076038-1597075
http://cmt_cz#op-3866300-3329332,http://conference_fr#op-0752860-5946080
http://cmt_cz#op-5049562-0017689,http://conference_fr#op-2176272-9168448
