Entity1,Entity2
http://cmt_es#c-0082809-9639382,http://conference_en#c-2446635-7449628
http://cmt_es#c-0291674-8366353,http://conference_en#c-8170886-3522509
http://cmt_es#c-0796534-0846894,http://conference_en#c-3013589-3595599
http://cmt_es#c-0967878-0642860,http://conference_en#c-0513615-7095489
http://cmt_es#c-0967878-0642860,http://conference_en#c-1432286-4789153
http://cmt_es#c-2467658-7386622,http://conference_en#c-0975007-5643450
http://cmt_es#c-4213390-7190524,http://conference_en#c-7121259-3662514
http://cmt_es#c-4365365-7749367,http://conference_en#c-4444483-2447834
http://cmt_es#c-4365365-7749367,http://conference_en#c-0918067-8070827
http://cmt_es#c-5045873-3273959,http://conference_en#c-4401355-0431935
http://cmt_es#c-6106355-2983413,http://conference_en#c-9312690-4124149
http://cmt_es#c-8629068-0675820,http://conference_en#c-6525918-2089133
http://cmt_es#c-8924552-1758344,http://conference_en#c-2974852-3474918
http://cmt_es#ent-3761315-2509436,http://conference_en#ent-4516568-5595755
http://cmt_es#op-6140520-7321763,http://conference_en#op-8925105-7780939
http://cmt_es#op-7247666-5945614,http://conference_en#op-3595853-4712760
