Entity1,Entity2
http://cmt_fr#c-2745207-1642565,http://conference_cn#c-7043069-9708118
http://cmt_fr#c-6425593-9645104,http://conference_cn#c-7231695-3438312
http://cmt_fr#c-7635033-5406957,http://conference_cn#c-8850526-1216914
http://cmt_fr#c-8504144-9632689,http://conference_cn#c-8671713-5700321
http://cmt_fr#ent-5571423-1892362,http://conference_cn#ent-1379873-0723070
http://cmt_fr#op-3693648-9226478,http://conference_cn#op-4612606-3565270
http://cmt_fr#op-5315618-7011868,http://conference_cn#op-0380280-2251650
http://cmt_fr#op-5763161-7747081,http://conference_cn#op-6110385-9428205
http://cmt_fr#op-6997809-5722146,http://conference_cn#op-7550186-5195018
http://cmt_fr#op-7941198-0671399,http://conference_cn#op-4612606-3565270
