Entity1,Entity2
http://cmt_fr#c-0743498-8291005,http://conference_pt#c-6123980-7251265
http://cmt_fr#c-0752747-4444619,http://conference_pt#c-6123980-7251265
http://cmt_fr#c-4497134-7374494,http://conference_pt#c-2460278-9171533
http://cmt_fr#c-6425593-9645104,http://conference_pt#c-7112295-1426438
http://cmt_fr#c-6515186-6166981,http://conference_pt#c-3501542-5501483
http://cmt_fr#c-6624877-8973875,http://conference_pt#c-3934491-2726223
http://cmt_fr#c-7635033-5406957,http://conference_pt#c-8782693-5434495
http://cmt_fr#c-7886248-9730062,http://conference_pt#c-6499046-9989619
http://cmt_fr#op-3676239-0431045,http://conference_pt#op-5789990-5994809
http://cmt_fr#op-7941198-0671399,http://conference_pt#op-5399311-2070029
http://cmt_fr#op-8126222-6511113,http://conference_pt#op-5789990-5994809
