Entity1,Entity2
http://cmt_pt#c-0141984-6988652,http://conference_de#c-6508590-8109709
http://cmt_pt#c-1162044-8230678,http://conference_de#c-1178842-2732173
http://cmt_pt#c-1195022-1778322,http://conference_de#c-8195847-6754106
http://cmt_pt#c-2440688-9886376,http://conference_de#c-6828546-9901709
http://cmt_pt#c-4764666-9064958,http://conference_de#c-4756237-0913680
http://cmt_pt#c-5355208-6834878,http://conference_de#c-2852856-4092117
http://cmt_pt#c-6103454-5591664,http://conference_de#c-5694210-3113803
http://cmt_pt#c-6103454-5591664,http://conference_de#c-3560304-9366401
http://cmt_pt#c-6350040-2336355,http://conference_de#c-6600254-2450629
http://cmt_pt#c-6350040-2336355,http://conference_de#c-1810344-8487780
http://cmt_pt#c-6402860-8532598,http://conference_de#c-7158328-5483937
http://cmt_pt#c-7148208-3570710,http://conference_de#c-2807153-3693543
http://cmt_pt#c-8376130-6378687,http://conference_de#c-7521012-9493261
http://cmt_pt#ent-4599058-1382143,http://conference_de#ent-5299945-7988874
http://cmt_pt#op-5491548-2845518,http://conference_de#op-1945545-2946293
http://cmt_pt#op-8802204-7734863,http://conference_de#op-4621167-8649272
