Entity2,Entity1
http://conference_nl#c-0903584-7140350,http://cmt_pt#c-7932947-0055415
http://conference_nl#c-2659840-4509255,http://cmt_pt#c-1162044-8230678
http://conference_nl#c-3005282-1277741,http://cmt_pt#c-8376130-6378687
http://conference_nl#c-3635052-2793646,http://cmt_pt#c-7932947-0055415
http://conference_nl#c-5365552-2579683,http://cmt_pt#c-1498775-2764289
http://conference_nl#c-5445862-8638995,http://cmt_pt#c-1498775-2764289
http://conference_nl#c-6569875-3030942,http://cmt_pt#c-1195022-1778322
http://conference_nl#c-6772401-8299660,http://cmt_pt#c-8899081-4132080
http://conference_nl#c-8120635-0465682,http://cmt_pt#c-7148208-3570710
http://conference_nl#op-8590938-8394758,http://cmt_pt#op-2603095-7051900
