Entity1,Entity2
http://cmt_pt#c-0141984-6988652,http://conference_nl#c-0695153-5503923
http://cmt_pt#c-1162044-8230678,http://conference_nl#c-2659840-4509255
http://cmt_pt#c-1195022-1778322,http://conference_nl#c-6569875-3030942
http://cmt_pt#c-2440688-9886376,http://conference_nl#c-1112318-0314497
http://cmt_pt#c-4764666-9064958,http://conference_nl#c-9349175-2011648
http://cmt_pt#c-5355208-6834878,http://conference_nl#c-3191146-9008295
http://cmt_pt#c-6103454-5591664,http://conference_nl#c-0644715-2327122
http://cmt_pt#c-6103454-5591664,http://conference_nl#c-5646687-5891880
http://cmt_pt#c-6350040-2336355,http://conference_nl#c-2345761-1864938
http://cmt_pt#c-6350040-2336355,http://conference_nl#c-5222442-2918055
http://cmt_pt#c-6402860-8532598,http://conference_nl#c-3921789-8615832
http://cmt_pt#c-7148208-3570710,http://conference_nl#c-8120635-0465682
http://cmt_pt#c-8376130-6378687,http://conference_nl#c-3005282-1277741
http://cmt_pt#ent-4599058-1382143,http://conference_nl#ent-1616351-7903332
http://cmt_pt#op-5491548-2845518,http://conference_nl#op-3945124-1536625
http://cmt_pt#op-8802204-7734863,http://conference_nl#op-9369261-3562402
