LLM,Alignment,Precision,Recall,F1
gpt-4o-2024-05-13,archaeology/de-de/component/source_no_validation,1.22,76.47,2.40
gpt-4o-2024-05-13,archaeology/de-de/component/source,23.68,52.94,32.73
gpt-4o-2024-05-13,archaeology/de-de/component/target_no_validation,18.57,76.47,29.89
gpt-4o-2024-05-13,archaeology/de-de/component/target,66.67,35.29,46.15
gpt-4o-2024-05-13,archaeology/de-de/component/no_validation,27.66,76.47,40.62
gpt-4o-2024-05-13,archaeology/de-de/component/llm_with_agent,75.00,35.29,48.00
gpt-4o-2024-05-13,archaeology/de-en/component/source_no_validation,6.03,41.18,10.53
gpt-4o-2024-05-13,archaeology/de-en/component/source,37.50,35.29,36.36
gpt-4o-2024-05-13,archaeology/de-en/component/target_no_validation,11.63,29.41,16.67
gpt-4o-2024-05-13,archaeology/de-en/component/target,38.46,29.41,33.33
gpt-4o-2024-05-13,archaeology/de-en/component/no_validation,20.83,29.41,24.39
gpt-4o-2024-05-13,archaeology/de-en/component/llm_with_agent,50.00,29.41,37.04
gpt-4o-2024-05-13,archaeology/de-fr/component/source_no_validation,3.61,35.29,6.56
gpt-4o-2024-05-13,archaeology/de-fr/component/source,44.44,23.53,30.77
gpt-4o-2024-05-13,archaeology/de-fr/component/target_no_validation,12.50,23.53,16.33
gpt-4o-2024-05-13,archaeology/de-fr/component/target,66.67,11.76,20.00
gpt-4o-2024-05-13,archaeology/de-fr/component/no_validation,25.00,23.53,24.24
gpt-4o-2024-05-13,archaeology/de-fr/component/llm_with_agent,66.67,11.76,20.00
gpt-4o-2024-05-13,archaeology/de-it/component/source_no_validation,2.17,23.53,3.98
gpt-4o-2024-05-13,archaeology/de-it/component/source,28.57,11.76,16.67
gpt-4o-2024-05-13,archaeology/de-it/component/target_no_validation,10.00,11.76,10.81
gpt-4o-2024-05-13,archaeology/de-it/component/target,33.33,5.88,10.00
gpt-4o-2024-05-13,archaeology/de-it/component/no_validation,22.22,11.76,15.38
gpt-4o-2024-05-13,archaeology/de-it/component/llm_with_agent,33.33,5.88,10.00
gpt-4o-2024-05-13,archaeology/en-en/component/source_no_validation,2.14,83.33,4.17
gpt-4o-2024-05-13,archaeology/en-en/component/source,42.86,50.00,46.15
gpt-4o-2024-05-13,archaeology/en-en/component/target_no_validation,5.36,50.00,9.68
gpt-4o-2024-05-13,archaeology/en-en/component/target,50.00,50.00,50.00
gpt-4o-2024-05-13,archaeology/en-en/component/no_validation,10.00,50.00,16.67
gpt-4o-2024-05-13,archaeology/en-en/component/llm_with_agent,60.00,50.00,54.55
gpt-4o-2024-05-13,archaeology/en-fr/component/source_no_validation,3.75,50.00,6.98
gpt-4o-2024-05-13,archaeology/en-fr/component/source,25.00,33.33,28.57
gpt-4o-2024-05-13,archaeology/en-fr/component/target_no_validation,10.34,50.00,17.14
gpt-4o-2024-05-13,archaeology/en-fr/component/target,28.57,33.33,30.77
gpt-4o-2024-05-13,archaeology/en-fr/component/no_validation,18.75,50.00,27.27
gpt-4o-2024-05-13,archaeology/en-fr/component/llm_with_agent,66.67,33.33,44.44
gpt-4o-2024-05-13,archaeology/en-it/component/source_no_validation,5.41,33.33,9.30
gpt-4o-2024-05-13,archaeology/en-it/component/source,25.00,33.33,28.57
gpt-4o-2024-05-13,archaeology/en-it/component/target_no_validation,8.33,33.33,13.33
gpt-4o-2024-05-13,archaeology/en-it/component/target,25.00,33.33,28.57
gpt-4o-2024-05-13,archaeology/en-it/component/no_validation,20.00,33.33,25.00
gpt-4o-2024-05-13,archaeology/en-it/component/llm_with_agent,33.33,33.33,33.33
gpt-4o-2024-05-13,archaeology/fr-fr/component/source_no_validation,0.25,25.00,0.49
gpt-4o-2024-05-13,archaeology/fr-fr/component/source,8.33,25.00,12.50
gpt-4o-2024-05-13,archaeology/fr-fr/component/target_no_validation,1.96,25.00,3.64
gpt-4o-2024-05-13,archaeology/fr-fr/component/target,20.00,25.00,22.22
gpt-4o-2024-05-13,archaeology/fr-fr/component/no_validation,4.55,25.00,7.69
gpt-4o-2024-05-13,archaeology/fr-fr/component/llm_with_agent,25.00,25.00,25.00
gpt-4o-2024-05-13,archaeology/fr-it/component/source_no_validation,2.13,25.00,3.92
gpt-4o-2024-05-13,archaeology/fr-it/component/source,10.00,25.00,14.29
gpt-4o-2024-05-13,archaeology/fr-it/component/target_no_validation,4.00,25.00,6.90
gpt-4o-2024-05-13,archaeology/fr-it/component/target,14.29,25.00,18.18
gpt-4o-2024-05-13,archaeology/fr-it/component/no_validation,10.00,25.00,14.29
gpt-4o-2024-05-13,archaeology/fr-it/component/llm_with_agent,20.00,25.00,22.22
gpt-4o-2024-05-13,archaeology/it-it/component/source_no_validation,1.61,100.00,3.17
gpt-4o-2024-05-13,archaeology/it-it/component/source,25.00,75.00,37.50
gpt-4o-2024-05-13,archaeology/it-it/component/target_no_validation,6.52,75.00,12.00
gpt-4o-2024-05-13,archaeology/it-it/component/target,22.22,50.00,30.77
gpt-4o-2024-05-13,archaeology/it-it/component/no_validation,11.11,75.00,19.35
gpt-4o-2024-05-13,archaeology/it-it/component/llm_with_agent,22.22,50.00,30.77
