Entity2,Entity1
http://iasted#Author_cd_proceedings_included,http://conference#Conference_proceedings
http://iasted#Camera_ready_manuscript_deadline,http://conference#Camera_ready_contribution
http://iasted#Deadline,http://conference#Important_dates
http://iasted#Fee,http://conference#Conference_fees
http://iasted#Non_speaker,http://conference#Passive_conference_participant
http://iasted#Person,http://conference#Person
http://iasted#Presentation,http://conference#Presentation
http://iasted#Publication,http://conference#Paper
http://iasted#Review,http://conference#Review
http://iasted#Reviewer,http://conference#Reviewer
http://iasted#Speaker,http://conference#Person
http://iasted#Tutorial,http://conference#Tutorial
http://iasted#is_given_by,http://conference#is_given_by
http://iasted#is_writen_by,http://conference#has_authors
