Entity1,Entity2
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept33,http://vocabularies.unesco.org/thesaurus/concept9812
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept34,http://vocabularies.unesco.org/thesaurus/concept3354
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept37,http://vocabularies.unesco.org/thesaurus/concept3270
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept41,http://vocabularies.unesco.org/thesaurus/concept4954
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept46,http://vocabularies.unesco.org/thesaurus/concept3410
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept47,http://vocabularies.unesco.org/thesaurus/concept17000
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept51.01,http://vocabularies.unesco.org/thesaurus/concept11605
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept60,http://vocabularies.unesco.org/thesaurus/concept17127
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept61,http://vocabularies.unesco.org/thesaurus/concept17094
https://vocabs.acdh.oeaw.ac.at/dhataxonomy/Concept68,http://vocabularies.unesco.org/thesaurus/concept7411
