entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://thesauri.dainst.org/_003b194e,Source,Class,biaise,"In the context of digital humanities, ""bias"" refers to the presence of systematic favoritism or prejudice in data, algorithms, or methodologies that can influence the outcomes of research and analysis. This can manifest in various ways, such as:

1. **Data Bias**: When the data used for analysis is not representative of the entire population or is skewed in some way. For example, historical texts that predominantly reflect the perspectives of a particular group (e.g., elite, male, Western) can introduce bias into digital humanities projects.

2. **Algorithmic Bias**: When the algorithms used to process or analyze data produce results that are systematically prejudiced. This can occur due to the way algorithms are designed or the data they are trained on. For instance, a text analysis tool that has been trained on biased data may perpetuate those biases in its outputs.

3. **Interpretative Bias**: When the researchers' own perspectives, assumptions, or cultural contexts influence their interpretation of data and results. This can lead to conclusions that reflect the researchers' biases rather than an objective analysis.

Addressing bias in digital humanities involves critically examining data sources, methodologies, and interpretative frameworks to ensure a more balanced and inclusive approach to research.","Sure, here are the triples verbalised into phrases:

1. ""Bautechnische Merkmale"" has a narrower concept ""Biaise"".
2. ""Biaise"" has a broader concept ""Bautechnische Merkmale""."
http://thesauri.dainst.org/_00433119,Source,Class,nebenorte,"In the context of digital humanities and the provided extra information, ""Nebenorte"" refers to secondary or subordinate sites in relation to ""Zentralorte,"" which are central or primary sites. The term is used to describe locations that are not the main focus but still hold significance in the study of spatial and social structures. In the context of the RGK (Römisch-Germanische Kommission), this distinction helps in understanding the hierarchical organization of settlements and their roles within a broader geographical and cultural landscape.","Sure, here are the triples verbalised into phrases:

1. ""Nebenorte"" is a broader concept of ""Siedlungstypen/- areale"".
2. ""Siedlungstypen/- areale"" is a narrower concept of ""Nebenorte""."
http://thesauri.dainst.org/_0043df4f,Source,Class,intaccatura,"In the context of digital humanities, ""Intaccatura"" refers to a specific type of annotation or mark used in medieval manuscripts. These marks were often used by scribes to indicate corrections, insertions, or other editorial notes. In digital humanities, the study and digitization of such manuscripts often involve identifying and interpreting these marks to understand the text's history and the scribe's intentions. The term itself is Italian, reflecting the historical and linguistic context in which many of these manuscripts were produced.","The term ""Intaccatura"" is a broader concept within the category of ""éléments constructifs.""

The term ""éléments constructifs"" is a narrower concept that includes ""Intaccatura."""
http://thesauri.dainst.org/_00a5ac27,Source,Class,panel,"In the context of digital humanities, a ""panel"" typically refers to a group of experts or scholars who come together to discuss, present, and debate various topics related to the field. These panels are often part of conferences, workshops, or symposiums and can cover a wide range of subjects within digital humanities, such as digital archiving, computational analysis, digital pedagogy, and more. The goal of these panels is to share knowledge, foster collaboration, and advance the understanding and application of digital tools and methods in the humanities.","The term ""Objektkomponenten"" has a narrower concept, which is ""Panel"".

The term ""Panel"" has a broader concept, which is ""Objektkomponenten""."
http://thesauri.dainst.org/_00b63a49,Source,Class,scheinkalypter,"In the context of digital humanities, ""Scheinkalypter"" is not a commonly recognized term. It appears to be a German word, and breaking it down, ""Schein"" can mean ""appearance"" or ""illusion,"" and ""Kalypter"" could be derived from ""Kalyptos,"" meaning ""covered"" or ""hidden."" However, without a more specific context or usage, it's challenging to provide a precise definition.

If ""Scheinkalypter"" is a term used in a specific project or study within digital humanities, it might refer to a concept or tool related to the appearance or representation of data, possibly something that deals with the visualization or interpretation of hidden or underlying information. For a more accurate understanding, additional context or a specific reference to its use in digital humanities would be necessary.","The term ""Scheinkalypter"" is a broader concept of ""Ziegel"".

The term ""Ziegel"" is a narrower concept of ""Scheinkalypter""."
http://thesauri.dainst.org/_010e418a,Source,Class,schriftrollen,"In the context of digital humanities, ""Schriftrollen"" is a German term that translates to ""scrolls"" in English. It refers to ancient or historical documents that are rolled up for storage and preservation. These scrolls can contain a variety of texts, including literary works, religious scriptures, legal documents, and more. In digital humanities, the study and digitization of Schriftrollen involve using technology to preserve, analyze, and make these historical texts accessible for research and educational purposes. This can include creating digital facsimiles, transcriptions, and translations, as well as employing computational methods to analyze the content and context of the scrolls.","Sure, here are the triples verbalised into phrases:

1. ""Bild- und Schriftträger"" has a narrower concept ""Schriftrollen"".
2. ""Schriftrollen"" has a broader concept ""Bild- und Schriftträger""."
http://thesauri.dainst.org/_010e95a0,Source,Class,turmh gel,"In the context of digital humanities, ""Turmhügel"" refers to a type of medieval fortification known as a ""motte"" in English. A motte is a raised earthwork with a wooden or stone tower situated on top, often accompanied by a bailey, which is an enclosed courtyard. These structures were commonly used in medieval Europe for defensive purposes.

In digital humanities, the study of such historical structures might involve the use of digital tools and methods to analyze, visualize, and interpret archaeological and historical data. This could include creating 3D models of Turmhügel sites, using Geographic Information Systems (GIS) to map their locations, or employing digital archives to gather and compare historical records related to these fortifications.","Sure, here are the triples verbalised into phrases:

1. ""Turmhügel"" is a narrower concept of ""Siedlungstypen/- areale"".
2. ""Siedlungstypen/- areale"" is a broader concept of ""Turmhügel""."
http://thesauri.dainst.org/_0151189b,Source,Class,gewunden,"In the context of digital humanities, ""gewunden"" is a German word that translates to ""wound"" or ""twisted"" in English. It can refer to something that is complex, intricate, or convoluted. In digital humanities, this term might be used metaphorically to describe complex data structures, intricate algorithms, or the convoluted nature of certain research problems and methodologies. For example, a researcher might describe a particularly challenging dataset or a complicated analytical process as ""gewunden"" to emphasize its complexity and the effort required to untangle or understand it.","Sure, here are the triples verbalised into phrases:

1. ""Merkmale der Form"" has a narrower concept ""gewunden"".
2. ""gewunden"" has a broader concept ""Merkmale der Form""."
http://thesauri.dainst.org/_0159d808,Source,Class,diadumenos,"In the context of digital humanities, ""Diadumenos"" refers to a specific project or digital resource that is likely named after the famous ancient Greek statue of an athlete binding a victory ribbon around his head, created by the sculptor Polykleitos. The term itself means ""the one who binds"" in Greek. In digital humanities, such a project might involve the digitization, analysis, or interpretation of classical art, artifacts, or texts, leveraging digital tools and methodologies to enhance understanding and accessibility. The name ""Diadumenos"" would evoke themes of classical antiquity, victory, and the preservation of cultural heritage.","The concept ""<nach Typ>"" has a narrower concept ""Diadumenos"".

The concept ""Diadumenos"" has a broader concept ""<nach Typ>""."
http://thesauri.dainst.org/_019df4e5,Source,Class,soubassement,"In the context of digital humanities, ""soubassement"" refers to the foundational or underlying structure that supports a digital project or initiative. This can include the technological infrastructure, such as databases, servers, and software, as well as the methodological frameworks and theoretical underpinnings that guide the project's development and execution. Essentially, it is the base upon which the digital humanities work is built, ensuring stability, coherence, and functionality.","The term ""Soubassement"" is a broader concept under ""éléments constructifs"".

The term ""éléments constructifs"" is a narrower concept that includes ""Soubassement""."
