LLM,Alignment,Precision,Recall,F1
gpt-4o-2024-05-13,dh/defc-pactols/component/source_no_validation,4.35,30.00,7.59
gpt-4o-2024-05-13,dh/defc-pactols/component/source,66.67,20.00,30.77
gpt-4o-2024-05-13,dh/defc-pactols/component/target_no_validation,10.34,30.00,15.38
gpt-4o-2024-05-13,dh/defc-pactols/component/target,66.67,20.00,30.77
gpt-4o-2024-05-13,dh/defc-pactols/component/no_validation,16.67,30.00,21.43
gpt-4o-2024-05-13,dh/defc-pactols/component/llm_with_agent,100.00,20.00,33.33
gpt-4o-2024-05-13,dh/dha-unesco/component/source_no_validation,17.14,60.00,26.67
gpt-4o-2024-05-13,dh/dha-unesco/component/source,66.67,60.00,63.16
gpt-4o-2024-05-13,dh/dha-unesco/component/target_no_validation,16.67,50.00,25.00
gpt-4o-2024-05-13,dh/dha-unesco/component/target,66.67,40.00,50.00
gpt-4o-2024-05-13,dh/dha-unesco/component/no_validation,29.41,50.00,37.04
gpt-4o-2024-05-13,dh/dha-unesco/component/llm_with_agent,66.67,40.00,50.00
gpt-4o-2024-05-13,dh/idai-pactols/component/source_no_validation,2.31,23.53,4.21
gpt-4o-2024-05-13,dh/idai-pactols/component/source,75.00,17.65,28.57
gpt-4o-2024-05-13,dh/idai-pactols/component/target_no_validation,10.00,17.65,12.77
gpt-4o-2024-05-13,dh/idai-pactols/component/target,100.00,11.76,21.05
gpt-4o-2024-05-13,dh/idai-pactols/component/no_validation,10.71,17.65,13.33
gpt-4o-2024-05-13,dh/idai-pactols/component/llm_with_agent,100.00,11.76,21.05
gpt-4o-2024-05-13,dh/idai-parthenos/component/source_no_validation,19.87,57.69,29.56
gpt-4o-2024-05-13,dh/idai-parthenos/component/source,29.58,40.38,34.15
gpt-4o-2024-05-13,dh/idai-parthenos/component/target_no_validation,20.00,63.46,30.41
gpt-4o-2024-05-13,dh/idai-parthenos/component/target,30.95,50.00,38.24
gpt-4o-2024-05-13,dh/idai-parthenos/component/no_validation,45.28,46.15,45.71
gpt-4o-2024-05-13,dh/idai-parthenos/component/llm_with_agent,50.00,38.46,43.48
gpt-4o-2024-05-13,dh/ironagedanube-pactols/component/source_no_validation,9.52,40.00,15.38
gpt-4o-2024-05-13,dh/ironagedanube-pactols/component/source,50.00,20.00,28.57
gpt-4o-2024-05-13,dh/ironagedanube-pactols/component/target_no_validation,22.22,40.00,28.57
gpt-4o-2024-05-13,dh/ironagedanube-pactols/component/target,100.00,20.00,33.33
gpt-4o-2024-05-13,dh/ironagedanube-pactols/component/no_validation,33.33,40.00,36.36
gpt-4o-2024-05-13,dh/ironagedanube-pactols/component/llm_with_agent,100.00,20.00,33.33
gpt-4o-2024-05-13,dh/oeai-parthenos/component/source_no_validation,26.09,63.83,37.04
gpt-4o-2024-05-13,dh/oeai-parthenos/component/source,78.12,53.19,63.29
gpt-4o-2024-05-13,dh/oeai-parthenos/component/target_no_validation,16.15,55.32,25.00
gpt-4o-2024-05-13,dh/oeai-parthenos/component/target,46.30,53.19,49.50
gpt-4o-2024-05-13,dh/oeai-parthenos/component/no_validation,54.05,42.55,47.62
gpt-4o-2024-05-13,dh/oeai-parthenos/component/llm_with_agent,90.91,42.55,57.97
gpt-4o-2024-05-13,dh/pactols-parthenos/component/source_no_validation,25.00,66.67,36.36
gpt-4o-2024-05-13,dh/pactols-parthenos/component/source,87.50,58.33,70.00
gpt-4o-2024-05-13,dh/pactols-parthenos/component/target_no_validation,19.05,66.67,29.63
gpt-4o-2024-05-13,dh/pactols-parthenos/component/target,75.00,50.00,60.00
gpt-4o-2024-05-13,dh/pactols-parthenos/component/no_validation,47.06,66.67,55.17
gpt-4o-2024-05-13,dh/pactols-parthenos/component/llm_with_agent,100.00,50.00,66.67
gpt-4o-2024-05-13,dh/tadirah-unesco/component/source_no_validation,6.63,73.33,12.15
gpt-4o-2024-05-13,dh/tadirah-unesco/component/source,26.67,26.67,26.67
gpt-4o-2024-05-13,dh/tadirah-unesco/component/target_no_validation,7.75,66.67,13.89
gpt-4o-2024-05-13,dh/tadirah-unesco/component/target,53.85,46.67,50.00
gpt-4o-2024-05-13,dh/tadirah-unesco/component/no_validation,25.64,66.67,37.04
gpt-4o-2024-05-13,dh/tadirah-unesco/component/llm_with_agent,100.00,26.67,42.11
