entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://thesauri.dainst.org/_003b194e,Source,Class,oblique,"In the context of archaeology, ""oblique"" typically refers to an angle or direction that is not perpendicular or parallel to a reference plane or axis. For example, an oblique aerial photograph is taken at an angle to the ground, rather than directly overhead. This type of imagery can provide different perspectives and reveal features that might not be visible in vertical photographs, aiding in the identification and analysis of archaeological sites.","Sure, here are the triples verbalised into phrases:

1. ""Oblique"" has a broader concept identified by ""_2a21a33f"".
2. The concept identified by ""_2a21a33f"" has a narrower concept ""Oblique""."
http://thesauri.dainst.org/_0043df4f,Source,Class,foundation cutting,"In the context of archaeology, ""foundation cutting"" refers to the process of excavating or digging into the ground to create a trench or hole where the foundations of a structure, such as a building or wall, will be laid. This process is essential for understanding the construction techniques and architectural practices of past societies. By examining the foundation cuts, archaeologists can gather information about the dimensions, layout, and construction methods used in ancient structures.","""Foundation cutting"" is a broader concept within the category of ""architectural members and components.""

""architectural members and components"" is a narrower concept that includes ""Foundation cutting."""
http://thesauri.dainst.org/_00a5ac27,Source,Class,panel,"In the context of archaeology, a ""panel"" typically refers to a flat or relatively flat surface, often of rock, that contains carvings, paintings, or other forms of ancient artwork or inscriptions. These panels can be part of larger rock formations, cave walls, or freestanding stones and are studied to understand the cultural and historical significance of the depicted scenes or symbols.","The term ""Panel"" has a broader concept identified by ""_cdc51484"".

The concept identified by ""_cdc51484"" has a narrower term, which is ""Panel""."
http://thesauri.dainst.org/_00b63a49,Source,Class,false cover tile,"In the context of archaeology, a ""False cover-tile"" refers to a type of roofing tile that is designed to mimic the appearance of a traditional cover-tile but does not serve the same functional purpose. Traditional cover-tiles are used in conjunction with pan-tiles to create a watertight roof. A false cover-tile, however, might be used for decorative purposes or to give the impression of a certain architectural style without actually contributing to the roof's structural integrity or waterproofing. This term can also refer to tiles that were used in ancient times to create the illusion of a more expensive or elaborate roofing system.","The term ""False cover-tile"" is a broader concept related to ""_f356b53c"".

The concept ""_f356b53c"" is a narrower concept related to ""False cover-tile""."
http://thesauri.dainst.org/_0159d808,Source,Class,diadumenos,"In the context of archaeology, ""Diadumenos"" refers to a specific type of ancient Greek statue that depicts a young athlete tying a victory ribbon, or diadem, around his head. The term comes from the Greek word ""διαδούμενος"" (diadoumenos), which means ""the one who binds a diadem."" The most famous example of this type of statue is the Diadumenos by the sculptor Polykleitos, created around 430 BCE. This statue is celebrated for its depiction of idealized youthful beauty and its demonstration of Polykleitos' principles of symmetry and proportion.","Sure, here are the triples verbalised into phrases:

1. ""Diadumenos"" has a broader concept identified by ""_fccf07e9"".
2. The concept identified by ""_fccf07e9"" has a narrower concept ""Diadumenos""."
http://thesauri.dainst.org/_019df4e5,Source,Class,dado proper,"In archaeology, ""Dado proper"" refers to the main part of the dado, which is the lower section of a wall, typically differentiated by a molding or a different material or color. The dado proper is the central portion of this lower section, situated between the base (or plinth) at the bottom and the dado rail (or chair rail) at the top. This architectural feature is often found in classical and neoclassical buildings and can be decorated with various designs, carvings, or panels.","""Dado proper"" is a broader concept within the category of ""architectural members and components.""

""Architectural members and components"" is a narrower concept that includes ""Dado proper."""
http://thesauri.dainst.org/_01ad4a56,Source,Class,adjacent,"In the context of archaeology, ""adjacent"" refers to objects, structures, or areas that are located next to or very near each other. For example, if two excavation sites are described as adjacent, it means they are situated close to one another, possibly sharing a boundary or being in close proximity. This term helps archaeologists describe the spatial relationships between different finds or features within a site.","The term ""Adjacent"" has a broader concept represented by ""_2a21a33f"".

The concept ""_2a21a33f"" has a narrower term, which is ""Adjacent""."
http://thesauri.dainst.org/_01ae2dab,Source,Class,colonnade,"In the context of archaeology, a colonnade refers to a long sequence of columns joined by their entablature, often free-standing, or part of a building. These columns typically support a roof or a series of arches. Colonnades are a significant architectural feature in ancient structures, such as Greek temples, Roman basilicas, and other classical buildings, serving both structural and aesthetic purposes. They are often found in public spaces like forums, courtyards, and marketplaces, providing covered walkways and contributing to the grandeur and symmetry of the architecture.","Sure, here are the triples verbalised into phrases:

1. ""Colonnade"" is a broader concept within the category of ""architectural members and components.""
2. ""Architectural members and components"" include the narrower concept of ""Colonnade."""
http://thesauri.dainst.org/_01c86444,Source,Class,cabin,"In the context of archaeology, a ""cabin"" typically refers to a small, simple dwelling or shelter, often constructed from logs or other natural materials. These structures can provide valuable insights into the daily lives, construction techniques, and living conditions of past populations. Archaeologists may study cabins to understand more about the social, economic, and cultural aspects of the people who built and inhabited them.","Sure, here are the triples verbalised into phrases:

1. ""Cabin"" is a broader concept of ""Dwelling house"".
2. ""Dwelling house"" is a narrower concept of ""Cabin""."
http://thesauri.dainst.org/_01cbb854,Source,Class,lotus capital,"In the context of archaeology, a ""Lotus capital"" refers to a type of architectural element found in ancient structures, particularly in columns. It is a capital (the topmost part of a column) that is decorated with motifs inspired by the lotus flower. The lotus is a significant symbol in various ancient cultures, including Egyptian, Greek, and Indian civilizations, often representing purity, beauty, and rebirth. The design typically features stylized lotus petals and can be found in temples, palaces, and other significant buildings from antiquity.","Sure, here are the triples verbalized into phrases:

1. ""Lotus capital"" is a broader concept within the category of ""capitals.""
2. ""Capitals"" is a narrower concept that includes ""Lotus capital."""
