Entity1,Entity2
http://omim.org/entry/100100,http://www.orpha.net/ORDO/Orphanet_2970
http://omim.org/entry/100800,http://www.orpha.net/ORDO/Orphanet_15
http://omim.org/entry/101000,http://www.orpha.net/ORDO/Orphanet_637
http://omim.org/entry/101200,http://www.orpha.net/ORDO/Orphanet_87
http://omim.org/entry/101400,http://www.orpha.net/ORDO/Orphanet_794
http://omim.org/entry/101600,http://www.orpha.net/ORDO/Orphanet_710
http://omim.org/entry/101805,http://www.orpha.net/ORDO/Orphanet_1786
http://omim.org/entry/101850,http://www.orpha.net/ORDO/Orphanet_38
http://omim.org/entry/101900,http://www.orpha.net/ORDO/Orphanet_79151
http://omim.org/entry/102150,http://www.orpha.net/ORDO/Orphanet_965
http://omim.org/entry/102370,http://www.orpha.net/ORDO/Orphanet_969
http://omim.org/entry/102500,http://www.orpha.net/ORDO/Orphanet_955
http://omim.org/entry/102510,http://www.orpha.net/ORDO/Orphanet_957
http://omim.org/entry/102520,http://www.orpha.net/ORDO/Orphanet_971
http://omim.org/entry/102650,http://www.orpha.net/ORDO/Orphanet_973
http://omim.org/entry/102660,http://www.orpha.net/ORDO/Orphanet_55881
http://omim.org/entry/102700,http://www.orpha.net/ORDO/Orphanet_277
http://omim.org/entry/102730,http://www.orpha.net/ORDO/Orphanet_99138
http://omim.org/entry/103050,http://www.orpha.net/ORDO/Orphanet_46
http://omim.org/entry/103100,http://www.orpha.net/ORDO/Orphanet_454718
http://omim.org/entry/103200,http://www.orpha.net/ORDO/Orphanet_36397
http://omim.org/entry/103285,http://www.orpha.net/ORDO/Orphanet_978
http://omim.org/entry/103300,http://www.orpha.net/ORDO/Orphanet_989
http://omim.org/entry/103500,http://www.orpha.net/ORDO/Orphanet_42665
http://omim.org/entry/103580,http://www.orpha.net/ORDO/Orphanet_79443
http://omim.org/entry/103900,http://www.orpha.net/ORDO/Orphanet_403
http://omim.org/entry/103920,http://www.orpha.net/ORDO/Orphanet_1164
http://omim.org/entry/104100,http://www.orpha.net/ORDO/Orphanet_1010
http://omim.org/entry/104130,http://www.orpha.net/ORDO/Orphanet_1008
http://omim.org/entry/104200,http://www.orpha.net/ORDO/Orphanet_88918
http://omim.org/entry/104510,http://www.orpha.net/ORDO/Orphanet_100034
