Entity1,Entity2
http://taxref.mnhn.fr/lod/taxon/528845/13.0,http://purl.obolibrary.org/obo/NCBITaxon_331989
http://taxref.mnhn.fr/lod/taxon/528848/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1132759
http://taxref.mnhn.fr/lod/taxon/529072/13.0,http://purl.obolibrary.org/obo/NCBITaxon_675502
http://taxref.mnhn.fr/lod/taxon/529073/13.0,http://purl.obolibrary.org/obo/NCBITaxon_54310
http://taxref.mnhn.fr/lod/taxon/529834/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1160
http://taxref.mnhn.fr/lod/taxon/529836/13.0,http://purl.obolibrary.org/obo/NCBITaxon_264691
http://taxref.mnhn.fr/lod/taxon/529929/13.0,http://purl.obolibrary.org/obo/NCBITaxon_471272
http://taxref.mnhn.fr/lod/taxon/531262/13.0,http://purl.obolibrary.org/obo/NCBITaxon_373990
http://taxref.mnhn.fr/lod/taxon/531382/13.0,http://purl.obolibrary.org/obo/NCBITaxon_996925
http://taxref.mnhn.fr/lod/taxon/627053/13.0,http://purl.obolibrary.org/obo/NCBITaxon_59512
http://taxref.mnhn.fr/lod/taxon/647968/13.0,http://purl.obolibrary.org/obo/NCBITaxon_158786
http://taxref.mnhn.fr/lod/taxon/650857/13.0,http://purl.obolibrary.org/obo/NCBITaxon_207923
http://taxref.mnhn.fr/lod/taxon/652751/13.0,http://purl.obolibrary.org/obo/NCBITaxon_192050
http://taxref.mnhn.fr/lod/taxon/670180/13.0,http://purl.obolibrary.org/obo/NCBITaxon_153188
http://taxref.mnhn.fr/lod/taxon/670188/13.0,http://purl.obolibrary.org/obo/NCBITaxon_207924
http://taxref.mnhn.fr/lod/taxon/670405/13.0,http://purl.obolibrary.org/obo/NCBITaxon_665910
http://taxref.mnhn.fr/lod/taxon/670558/13.0,http://purl.obolibrary.org/obo/NCBITaxon_136074
http://taxref.mnhn.fr/lod/taxon/670560/13.0,http://purl.obolibrary.org/obo/NCBITaxon_135104
http://taxref.mnhn.fr/lod/taxon/670570/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1521602
http://taxref.mnhn.fr/lod/taxon/698742/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1304828
http://taxref.mnhn.fr/lod/taxon/698744/13.0,http://purl.obolibrary.org/obo/NCBITaxon_442436
http://taxref.mnhn.fr/lod/taxon/698752/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1125732
http://taxref.mnhn.fr/lod/taxon/698767/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1453813
http://taxref.mnhn.fr/lod/taxon/698793/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1205919
