Entity2,Entity1
http://purl.obolibrary.org/obo/NCBITaxon_1,http://taxref.mnhn.fr/lod/taxon/191675/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1004930,http://taxref.mnhn.fr/lod/taxon/837145/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1028796,http://taxref.mnhn.fr/lod/taxon/75508/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1030369,http://taxref.mnhn.fr/lod/taxon/50721/13.0
http://purl.obolibrary.org/obo/NCBITaxon_103340,http://taxref.mnhn.fr/lod/taxon/77071/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1048527,http://taxref.mnhn.fr/lod/taxon/51190/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1048528,http://taxref.mnhn.fr/lod/taxon/51208/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1049758,http://taxref.mnhn.fr/lod/taxon/655206/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1078832,http://taxref.mnhn.fr/lod/taxon/349570/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1078833,http://taxref.mnhn.fr/lod/taxon/355751/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1078856,http://taxref.mnhn.fr/lod/taxon/917092/13.0
http://purl.obolibrary.org/obo/NCBITaxon_107946,http://taxref.mnhn.fr/lod/taxon/670178/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1092565,http://taxref.mnhn.fr/lod/taxon/51033/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1092566,http://taxref.mnhn.fr/lod/taxon/50413/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1092567,http://taxref.mnhn.fr/lod/taxon/51179/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1092568,http://taxref.mnhn.fr/lod/taxon/50659/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1092569,http://taxref.mnhn.fr/lod/taxon/50409/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1092570,http://taxref.mnhn.fr/lod/taxon/195962/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1092571,http://taxref.mnhn.fr/lod/taxon/51016/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1109116,http://taxref.mnhn.fr/lod/taxon/804477/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1109117,http://taxref.mnhn.fr/lod/taxon/804651/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1109119,http://taxref.mnhn.fr/lod/taxon/804648/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1109124,http://taxref.mnhn.fr/lod/taxon/804668/13.0
http://purl.obolibrary.org/obo/NCBITaxon_1115686,http://taxref.mnhn.fr/lod/taxon/804625/13.0
