entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://qudt.org/schema/qudt/Quantity,Source,Class,quantity,"In the context of a circular economy, a **quantity** refers to the measurement of an observable property of a particular object, event, or physical system. This measurement is always associated with the context of what is being measured, the measured value, and the accuracy of the measurement. For example, in a circular economy, quantities could include the amount of material recycled, the energy consumed in a process, or the volume of waste reduced. These quantities are quantifiable aspects of the world and are described using units to express their numerical measure. The concept of quantity is distinct from ""quantity kind,"" which is a type specifier, such as length or mass, whereas a specific quantity would be a particular measurement of that type, like the height of a rocket or the weight of a product.","The given subgraph can be described as follows:

1. There are three restrictions involved, each represented by a unique identifier:
   - Restriction 1: `_:N621488346a2c4aa6818f8038a3dda5fa`
   - Restriction 2: `_:N36f698166a904895bb82317ae4ac8921`
   - Restriction 3: `_:Na4d1f13eedca4ea69bbddff3059110a1`

2. The class `Quantity` is a subclass of all three restrictions.

3. Restriction 1 (`_:N621488346a2c4aa6818f8038a3dda5fa`):
   - Applies to the property `quantityValue`.
   - Specifies that all values for this property must be of type `QuantityValue`.

4. Restriction 2 (`_:N36f698166a904895bb82317ae4ac8921`):
   - Applies to the property `hasQuantityKind`.
   - Specifies that all values for this property must be of type `QuantityKind`.

5. Restriction 3 (`_:Na4d1f13eedca4ea69bbddff3059110a1`):
   - Applies to the property `hasQuantityKind`.
   - Specifies a minimum cardinality of 0 for this property.

In summary, the class `Quantity` is defined by three restrictions: it must have a `quantityValue` of type `QuantityValue`, it must have a `hasQuantityKind` of type `QuantityKind`, and it can have zero or more `hasQuantityKind` properties."
http://qudt.org/schema/qudt/QuantityKind,Source,Class,quantity kind,"In the context of a circular economy, a **Quantity Kind** refers to any observable property related to the lifecycle of products and materials that can be measured and quantified numerically. This includes physical properties such as the mass of recycled materials, the energy consumed in production processes, and the time taken for a product to be reused or recycled. It also encompasses economic and informational properties such as the cost savings from using recycled materials, the interest rate on investments in sustainable technologies, the price-to-earning ratio of companies engaged in circular economy practices, and the information capacity related to tracking and managing resources efficiently. These measurable properties are crucial for assessing and optimizing the sustainability and efficiency of circular economy practices.","The property ""hasQuantityKind"" has a range of ""QuantityKind"".The given subgraph can be described in natural language as follows:

There are two restrictions, each associated with the property 'hasQuantityKind'. The first restriction specifies that all values must be of the type 'QuantityKind'. The class 'Unit' is a subclass of this restriction. The second restriction also specifies that all values must be of the type 'QuantityKind'. The class 'Quantity' is a subclass of this second restriction."
http://qudt.org/schema/qudt/QuantityValue,Source,Class,quantity value,"In the context of a circular economy, ""QuantityValue"" refers to the measurable amount or volume of resources, materials, or products that are being tracked, managed, or utilized within the circular system. This could include metrics such as the weight of recycled materials, the volume of waste reduced, the number of products refurbished, or the amount of raw materials saved through recycling and reuse. The concept of QuantityValue is crucial for assessing the efficiency and effectiveness of circular economy practices, as it provides tangible data that can be used to evaluate progress towards sustainability goals and resource optimization.","Sure, here are the triples verbalised into phrases:

1. The property ""hasMaximalValueIncludedOfInterval"" has a range of ""QuantityValue"".
2. The property ""hasMaximalValueNotIncludedOfInterval"" has a range of ""QuantityValue"".
3. The property ""hasMinimalValueIncludedOfInterval"" has a range of ""QuantityValue"".
4. The property ""hasMinimalValueNotIncludedOfInterval"" has a range of ""QuantityValue"".
5. The property ""quantityValue"" has a range of ""QuantityValue"".The subgraph describes a class named ""Quantity"" which has a restriction. This restriction specifies that the property ""quantityValue"" must have values that are of the type ""QuantityValue""."
http://qudt.org/schema/qudt/Unit,Source,Class,unit,"In the context of a circular economy, a ""unit"" typically refers to a discrete, individual item or product that is part of the economic cycle. This could be any product or material that is designed, produced, used, and then either recycled, repurposed, or returned to the production cycle in some way. The concept of a unit is crucial in a circular economy because it emphasizes the lifecycle of each item, aiming to minimize waste and maximize resource efficiency by keeping products, components, and materials in use for as long as possible.","The description can be verbalized as follows:

""A Unit is a subclass of a restriction that applies to the property 'hasQuantityKind', where the values for this property must be of the type 'QuantityKind'."""
http://w3id.org/CEON/ontology/actor/ActorCVNRole,Source,Class,actor cvn role,"In the context of a circular economy, ""ActorCVNRole"" refers to the specific roles that an actor (such as a business, organization, or individual) plays within a Circular Value Network (CVN). A Circular Value Network is a collaborative framework where various actors work together to create, maintain, and optimize the flow of resources, products, and services in a way that minimizes waste and maximizes the reuse, recycling, and regeneration of materials.

The roles of an actor in a CVN can vary widely and may include functions such as:

1. **Resource Provider**: Supplying raw materials or recycled inputs for production.
2. **Manufacturer**: Producing goods using sustainable practices and materials.
3. **Distributor**: Ensuring the efficient and sustainable distribution of products.
4. **Consumer**: Using products in a way that supports circular principles, such as through sharing, leasing, or returning products for recycling.
5. **Recycler**: Processing used products and materials to recover valuable resources.
6. **Service Provider**: Offering services that support the circular economy, such as repair, maintenance, or refurbishment.
7. **Innovator**: Developing new technologies or business models that enhance circularity.

Each actor's role is crucial in maintaining the integrity and efficiency of the Circular Value Network, ensuring that resources are kept in use for as long as possible and that waste is minimized.","The class ""ActorCVNRole"" is a subclass of the class ""ActorCollaborationRole"".The subgraph describes a class hierarchy and restrictions related to ""CVNParticipation."" Here's a natural language description:

1. **CVNParticipation** is a subclass of a class defined by an intersection of two restrictions:
   - The first restriction specifies that the property **participationIn** must have some values from the class **CVN**.
   - The second restriction specifies that the property **participantRole** must have some values from the class **ActorCVNRole**.
   - The third restriction specifies that the property **participatingActor** must have some values from the class **Actor**.

2. **CVNParticipation** is also a subclass of **CollaborationParticipation**.

In summary, **CVNParticipation** is a type of **CollaborationParticipation** that involves participation in a **CVN**, with roles defined by **ActorCVNRole**, and actors participating in it must be of type **Actor**."
http://w3id.org/CEON/ontology/actor/ActorCollaborationRole,Source,Class,actor collaboration role,"In the context of a circular economy, ""ActorCollaborationRole"" refers to the specific roles and responsibilities that different stakeholders or participants (actors) assume when they collaborate to achieve the goals of a circular economy. These roles can vary widely depending on the nature of the collaboration and the specific objectives being pursued. For example, an actor could be a manufacturer, a recycler, a consumer, a policymaker, or a service provider, each contributing in unique ways to the circular economy. The collaboration roles might include tasks such as designing for recyclability, implementing take-back schemes, providing repair services, or creating policies that support circular practices. The effective collaboration of these actors, each fulfilling their designated roles, is essential for the successful implementation and sustainability of a circular economy.","Sure, here are the triples verbalised into phrases:

1. ""ActorCVNRole"" is a subclass of ""ActorCollaborationRole"".
2. ""ActorProcessRole"" is a subclass of ""ActorCollaborationRole"".
3. ""ActorCollaborationRole"" is a subclass of ""Role""."
http://w3id.org/CEON/ontology/actor/ActorProcessRole,Source,Class,actor process role,"In the context of a circular economy, ""ActorProcessRole"" refers to the specific responsibilities or functions that an individual or organization (the actor) undertakes within a particular process aimed at promoting sustainability and resource efficiency. This could include roles such as a manufacturer who designs products for easy disassembly and recycling, a consumer who participates in recycling programs, or a waste management company that processes and repurposes materials. Each actor's role is crucial in ensuring the effective implementation and success of circular economy principles.","The class ""ActorProcessRole"" is a subclass of the class ""ActorCollaborationRole"".The given subgraph describes a complex structure involving classes, restrictions, and properties. Here is a natural language description of the subgraph:

1. **Class Definitions and Relationships:**
   - `ProcessParticipation` is a subclass of a class denoted by `_:N0566b18e2ec44fc6a3fb8bb01cc5e165`.
   - The class `_:N0566b18e2ec44fc6a3fb8bb01cc5e165` is defined as an intersection of several restrictions and classes.

2. **Intersection Components:**
   - The intersection includes `CollaborationParticipation` as one of its components.
   - Another component of the intersection is a restriction denoted by `_:N328c35af9866439bac7c4d72677e1177`.

3. **Restriction Details:**
   - The restriction `_:N328c35af9866439bac7c4d72677e1177` specifies that the property `participatingActor` must have some values from the class `Actor`.
   - This restriction is part of a list where the next element is `nil`, indicating the end of the list.

4. **Additional Restrictions:**
   - Another restriction in the intersection is `_:N2b39bb189a10477baad1e21e59fc6dd8`, which specifies that the property `participationIn` must have some values from the class `Process`.
   - The restriction `_:N3ce16735fec24e0795cd79cf311d8717` specifies that the property `participantRole` must have some values from the class `ActorProcessRole`.

5. **List Structure:**
   - The list structure for the intersection is as follows:
     - The first element is `CollaborationParticipation`.
     - The next element is a restriction `_:N328c35af9866439bac7c4d72677e1177`, which in turn points to another restriction `_:N7da0bb9223384caa9b75885a1c713a17`.
     - The restriction `_:N7da0bb9223384caa9b75885a1c713a17` includes the restriction `_:N2b39bb189a10477baad1e21e59fc6dd8` and ends with `nil`.

In summary, `ProcessParticipation` is a subclass of an intersection class that includes `CollaborationParticipation` and several restrictions on properties such as `participatingActor`, `participationIn`, and `participantRole`, which must have values from the classes `Actor`, `Process`, and `ActorProcessRole` respectively."
http://w3id.org/CEON/ontology/actor/ActorResourceRole,Source,Class,actor resource role,"In the context of a circular economy, ""ActorResourceRole"" refers to the specific roles or responsibilities that an actor (such as an individual, organization, or entity) has in relation to a particular resource. This could involve various activities such as producing, consuming, managing, recycling, or repurposing the resource. The concept emphasizes the interconnected roles that different actors play in ensuring the sustainable use and lifecycle management of resources within a circular economy framework.","The class ""ActorResourceRole"" is a subclass of the class ""Role"".The given subgraph describes a class and its relationships with various restrictions and properties. Here is a natural language description of the subgraph:

1. There is a class denoted by a blank node (let's call it Class1) which is of type ""Class"".
2. Class1 is defined as the intersection of several components:
   - The first component is a class named ""Participation"".
   - The second component is a restriction (let's call it Restriction1) which is of type ""Restriction"". This restriction is on the property ""participantRole"" and requires that some values from this property must be of type ""ActorResourceRole"".
   - The third component is another restriction (let's call it Restriction2) which is also of type ""Restriction"". This restriction is on the property ""participatingActor"" and requires that some values from this property must be of type ""Actor"".
   - The fourth component is yet another restriction (let's call it Restriction3) which is of type ""Restriction"". This restriction is on the property ""participatingResource"" and requires that some values from this property must be of type ""Resource"".

3. Additionally, there is a class named ""ResourceRelation"" which is a subclass of Class1.

In summary, Class1 is an intersection of the ""Participation"" class and three restrictions on the properties ""participantRole"", ""participatingActor"", and ""participatingResource"", with specific value requirements for each property. The ""ResourceRelation"" class is a subclass of this complex class."
http://w3id.org/CEON/ontology/actor/BuyingResource,Source,Class,buying resource,"In the context of a circular economy, ""BuyingResource"" refers to the relationship where an actor (such as a business, organization, or individual) takes on the role of purchasing a specific resource. This resource could be raw materials, components, or products that are intended to be reused, refurbished, or recycled, thereby contributing to the sustainability and efficiency goals of the circular economy. The focus is on minimizing waste and maximizing the lifecycle of resources through continuous use and repurposing.","The class ""BuyingResource"" is a subclass of the class ""ResourceRelation"".The class ""BuyingResource"" is defined as being equivalent to a class that is an intersection of certain conditions. Specifically, this class must have a ""ResourceRelation"" and a restriction on the property ""participantRole"" such that the value of this property is ""buyer""."
http://w3id.org/CEON/ontology/actor/CVNParticipation,Source,Class,cvn participation,"In the context of a circular economy, ""CVNParticipation"" refers to the involvement of an actor (such as a company or organization) in a Circular Value Network (CVN) with a specific role. This participation indicates how the actor contributes to the flow of materials, products, or services within the network. For example, a company might participate as a recycler, processor, or distributor in a particular segment of the CVN. This participation can also be associated with a specific time or time interval, indicating when the actor's involvement takes place.","The class ""CVNParticipation"" is a subclass of the class ""CollaborationParticipation"".The subgraph describes a class hierarchy and restrictions related to ""CVNParticipation."" Here's a natural language description:

1. **CVNParticipation** is a subclass of an unnamed class (let's call it **Class1**).
2. **Class1** is defined as the intersection of two classes:
   - **CollaborationParticipation**
   - A class (let's call it **Class2**) that has the following restrictions:
     - It has a property **participationIn** that must have some values from **CVN**.
     - It has a property **participantRole** that must have some values from **ActorCVNRole**.
     - It has a property **participatingActor** that must have some values from **Actor**.

In summary, **CVNParticipation** is a type of **CollaborationParticipation** that involves participation in a **CVN**, with a participant role from **ActorCVNRole**, and involves an actor from **Actor**."
