Entity1,Entity2
http://cmt#Administrator,http://confOf#Administrator
http://cmt#Author,http://confOf#Author
http://cmt#Co-author,http://confOf#Contribution
http://cmt#Conference,http://confOf#Conference
http://cmt#ConferenceChair,http://confOf#Chair_PC
http://cmt#ConferenceMember,http://confOf#Participant
http://cmt#Paper,http://confOf#Paper
http://cmt#Person,http://confOf#Person
http://cmt#ProgramCommitteeChair,http://confOf#Chair_PC
http://cmt#ProgramCommitteeMember,http://confOf#Member_PC
http://cmt#hasSubjectArea,http://confOf#hasTopic
http://cmt#writtenBy,http://confOf#writtenBy
