Entity2,Entity1
http://edas#AcademicEvent,http://cmt#Conference
http://edas#AcceptedPaper,http://cmt#Paper
http://edas#Attendee,http://cmt#ConferenceMember
http://edas#Author,http://cmt#Author
http://edas#Conference,http://cmt#Conference
http://edas#ConferenceChair,http://cmt#ConferenceChair
http://edas#ConferenceEvent,http://cmt#Conference
http://edas#Document,http://cmt#Document
http://edas#Paper,http://cmt#Paper
http://edas#Person,http://cmt#Person
http://edas#Programme,http://cmt#AuthorNotReviewer
http://edas#PublishedPaper,http://cmt#Document
http://edas#PublishedPaper,http://cmt#Paper
http://edas#RejectRating,http://cmt#Rejection
http://edas#RejectedPaper,http://cmt#Rejection
http://edas#Review,http://cmt#Review
http://edas#Reviewer,http://cmt#Reviewer
http://edas#SessionChair,http://cmt#Chairman
http://edas#TPCMember,http://cmt#ProgramCommitteeMember
http://edas#Topic,http://cmt#SubjectArea
http://edas#WeekRejectRating,http://cmt#Rejection
http://edas#isReviewedBy,http://cmt#readByReviewer
http://edas#isWrittenBy,http://cmt#hasAuthor
http://edas#manuscriptDueOn,http://cmt#date
