Entity1,Entity2
http://thesauri.dainst.org/_0117de29,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7192
http://thesauri.dainst.org/_02ea2cca,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7102
http://thesauri.dainst.org/_02ea2cca,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7115
http://thesauri.dainst.org/_03e5b59b,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7139
http://thesauri.dainst.org/_0530b8a9,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7123
http://thesauri.dainst.org/_09106e2a,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7135
http://thesauri.dainst.org/_09106e2a,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7171
http://thesauri.dainst.org/_0bbbd3c7,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7099
http://thesauri.dainst.org/_0c5dfe3d,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7131
http://thesauri.dainst.org/_1591f7f8,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7256
http://thesauri.dainst.org/_159e5ee6,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7200
http://thesauri.dainst.org/_1d839342,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7094
http://thesauri.dainst.org/_1f524e33,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7114
http://thesauri.dainst.org/_2eaf48c6,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7193
http://thesauri.dainst.org/_344a3ee9,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7208
http://thesauri.dainst.org/_363f4300,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7212
http://thesauri.dainst.org/_3daffa4b,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7190
http://thesauri.dainst.org/_4184afc2,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7164
http://thesauri.dainst.org/_4d1bfe78,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7170
http://thesauri.dainst.org/_538757ef,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7205
http://thesauri.dainst.org/_58694b5f,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7189
http://thesauri.dainst.org/_5d1ac0ba,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7165
http://thesauri.dainst.org/_6d528ffb,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7199
http://thesauri.dainst.org/_8bb3692d,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7236
http://thesauri.dainst.org/_8bca4bf1,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7219
http://thesauri.dainst.org/_98ccb2bd,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7268
http://thesauri.dainst.org/_a41c44b3,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7125
http://thesauri.dainst.org/_a4c97475,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7243
http://thesauri.dainst.org/_a671d80c,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7146
http://thesauri.dainst.org/_acc90782,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7112
http://thesauri.dainst.org/_afbdde2e,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7226
http://thesauri.dainst.org/_c26d8599,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7206
http://thesauri.dainst.org/_c332e252,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7213
http://thesauri.dainst.org/_cadb286c,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7162
http://thesauri.dainst.org/_cc22e013,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7216
http://thesauri.dainst.org/_dac3529c,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7184
http://thesauri.dainst.org/_eee85fa3,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7103
http://thesauri.dainst.org/_eef15fc7,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7233
http://thesauri.dainst.org/_fcc3853f,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7152
http://thesauri.dainst.org/_fe470a76,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7194
