Entity1,Entity2
https://ark.frantiq.fr/ark:/26678/crtdVpqD9Y6ym,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32318
https://ark.frantiq.fr/ark:/26678/pcrt9PJh9aTXv4,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32349
https://ark.frantiq.fr/ark:/26678/pcrtAqKgmvERHQ,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32641
https://ark.frantiq.fr/ark:/26678/pcrtF9P4mbuyGk,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32655
https://ark.frantiq.fr/ark:/26678/pcrtHIjtOg1P75,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32228
https://ark.frantiq.fr/ark:/26678/pcrtVhTRix41ic,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32286
https://ark.frantiq.fr/ark:/26678/pcrtXGgQa70ZVU,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32971
https://ark.frantiq.fr/ark:/26678/pcrtfUWF9GVr4q,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32290
https://ark.frantiq.fr/ark:/26678/pcrtkeLpJpVN4t,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32490
https://ark.frantiq.fr/ark:/26678/pcrts62Z2hl4ux,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32910
https://ark.frantiq.fr/ark:/26678/pcrtx4sFxmENjb,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32867
https://ark.frantiq.fr/ark:/26678/pcrtxKnfzXYMxK,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/32324
