Entity1,Entity2
http://cmt_ar#c-1753052-0526039,http://cmt_es#c-0967878-0642860
http://cmt_ar#c-2220987-5331821,http://cmt_es#c-4762871-9518956
http://cmt_ar#c-3714057-1039146,http://cmt_es#c-0291674-8366353
http://cmt_ar#c-3930288-3644648,http://cmt_es#c-5045873-3273959
http://cmt_ar#c-3945225-6300796,http://cmt_es#c-8220503-4178382
http://cmt_ar#c-4595043-4384026,http://cmt_es#c-2100185-3996442
http://cmt_ar#c-5258810-6413397,http://cmt_es#c-3087064-8732762
http://cmt_ar#c-6884283-5550269,http://cmt_es#c-7650337-8286527
http://cmt_ar#c-8335305-4555146,http://cmt_es#c-2467658-7386622
http://cmt_ar#c-9541928-7173577,http://cmt_es#c-8629068-0675820
http://cmt_ar#c-9634422-4066717,http://cmt_es#c-5380354-4687776
http://cmt_ar#ent-6395384-0777412,http://cmt_es#ent-4219000-3514538
http://cmt_ar#op-1942381-2978009,http://cmt_es#op-1986726-8625703
http://cmt_ar#op-3738146-7132581,http://cmt_es#op-3190939-1433915
http://cmt_ar#op-5466717-2620633,http://cmt_es#op-0521685-2125451
http://cmt_ar#op-5894858-9261514,http://cmt_es#op-3834467-7078110
http://cmt_ar#op-6389051-2982777,http://cmt_es#op-4928266-4640200
http://cmt_ar#op-6683020-8838246,http://cmt_es#op-7867139-3426802
http://cmt_ar#op-7987969-7509674,http://cmt_es#op-6574318-9367661
http://cmt_ar#op-8508521-5721137,http://cmt_es#op-9728576-3922788
