Entity1,Entity2
http://cmt_ar#c-0625239-2425775,http://cmt_nl#c-0120110-7787945
http://cmt_ar#c-3714057-1039146,http://cmt_nl#c-0744921-3144577
http://cmt_ar#c-3945225-6300796,http://cmt_nl#c-3276253-9620830
http://cmt_ar#c-6884283-5550269,http://cmt_nl#c-0236412-8230972
http://cmt_ar#c-8895015-9423071,http://cmt_nl#c-3874111-1901895
http://cmt_ar#c-9634422-4066717,http://cmt_nl#c-7849747-5068229
http://cmt_ar#ent-1697241-5302844,http://cmt_nl#ent-0153188-2394879
http://cmt_ar#ent-4299333-0273163,http://cmt_nl#ent-7973835-4912921
http://cmt_ar#ent-6395384-0777412,http://cmt_nl#ent-6307800-0367561
http://cmt_ar#op-2082117-7310815,http://cmt_nl#op-8406162-2537450
http://cmt_ar#op-3738146-7132581,http://cmt_nl#op-5928292-4023284
http://cmt_ar#op-6683020-8838246,http://cmt_nl#op-1373374-6702784
http://cmt_ar#op-7987969-7509674,http://cmt_nl#op-2090498-3671647
http://cmt_ar#op-8681941-3178471,http://cmt_nl#op-6212167-8679664
