Entity1,Entity2
http://cmt_ar#c-1753052-0526039,http://cmt_pt#c-6350040-2336355
http://cmt_ar#c-2220987-5331821,http://cmt_pt#c-7932947-0055415
http://cmt_ar#c-3714057-1039146,http://cmt_pt#c-1162044-8230678
http://cmt_ar#c-3945225-6300796,http://cmt_pt#c-7462500-2349721
http://cmt_ar#c-5258810-6413397,http://cmt_pt#c-6903790-9806964
http://cmt_ar#c-6884283-5550269,http://cmt_pt#c-7462500-2349721
http://cmt_ar#c-8335305-4555146,http://cmt_pt#c-5355208-6834878
http://cmt_ar#ent-0474024-8645389,http://cmt_pt#ent-0253045-6996442
http://cmt_ar#ent-1697241-5302844,http://cmt_pt#ent-6564687-6037568
http://cmt_ar#ent-4299333-0273163,http://cmt_pt#ent-0644197-6160913
http://cmt_ar#op-1947892-8022039,http://cmt_pt#op-9088659-7137190
http://cmt_ar#op-2082117-7310815,http://cmt_pt#op-9844012-3752266
http://cmt_ar#op-5074777-6797175,http://cmt_pt#op-5488144-4158468
http://cmt_ar#op-5466717-2620633,http://cmt_pt#op-5460137-1245372
http://cmt_ar#op-6389051-2982777,http://cmt_pt#op-6209772-4953981
http://cmt_ar#op-6776481-7922961,http://cmt_pt#op-4257914-4783916
http://cmt_ar#op-7141547-2558957,http://cmt_pt#op-1365421-7214392
http://cmt_ar#op-7617874-9671290,http://cmt_pt#op-1542767-1179760
http://cmt_ar#op-7987969-7509674,http://cmt_pt#op-5069880-9811640
http://cmt_ar#op-8508521-5721137,http://cmt_pt#op-9517020-6504507
http://cmt_ar#op-9993047-2293020,http://cmt_pt#op-2894081-0130144
