Entity1,Entity2
http://cmt_en#c-0430420-0075813,http://cmt_es#c-0967878-0642860
http://cmt_en#c-1611583-0668331,http://cmt_es#c-0796534-0846894
http://cmt_en#c-1819859-8467443,http://cmt_es#c-0291674-8366353
http://cmt_en#c-1998894-5296562,http://cmt_es#c-3335261-0377996
http://cmt_en#c-2074692-1147118,http://cmt_es#c-2467658-7386622
http://cmt_en#c-2079829-2275666,http://cmt_es#c-5380354-4687776
http://cmt_en#c-2282104-8815481,http://cmt_es#c-8634304-5227884
http://cmt_en#c-3017177-8896532,http://cmt_es#c-8543365-7210971
http://cmt_en#c-3027646-3365825,http://cmt_es#c-4365365-7749367
http://cmt_en#c-3355504-9442806,http://cmt_es#c-2265323-9937316
http://cmt_en#c-3387453-2881212,http://cmt_es#c-5045873-3273959
http://cmt_en#c-3945313-3684065,http://cmt_es#c-2113698-8203323
http://cmt_en#c-3959626-1362323,http://cmt_es#c-6685331-8774185
http://cmt_en#c-3969637-3563037,http://cmt_es#c-0082809-9639382
http://cmt_en#c-4062369-5383392,http://cmt_es#c-1092610-2413708
http://cmt_en#c-4413043-1523228,http://cmt_es#c-3087064-8732762
http://cmt_en#c-5343668-8121191,http://cmt_es#c-4051802-3052589
http://cmt_en#c-5375467-1655905,http://cmt_es#c-4213390-7190524
http://cmt_en#c-5409377-9286012,http://cmt_es#c-6803415-4241794
http://cmt_en#c-5994448-5980560,http://cmt_es#c-5587546-6922524
http://cmt_en#c-6029021-0998116,http://cmt_es#c-8924552-1758344
http://cmt_en#c-6062733-3218604,http://cmt_es#c-8019834-6089135
http://cmt_en#c-6817901-7377121,http://cmt_es#c-2100185-3996442
http://cmt_en#c-7224102-6220619,http://cmt_es#c-8220503-4178382
http://cmt_en#c-8066557-3199962,http://cmt_es#c-4762871-9518956
http://cmt_en#c-8313706-4430806,http://cmt_es#c-9294907-9737267
http://cmt_en#c-8693270-2767092,http://cmt_es#c-6106355-2983413
http://cmt_en#c-8707801-9291338,http://cmt_es#c-7650337-8286527
http://cmt_en#c-9519178-7885109,http://cmt_es#c-8629068-0675820
http://cmt_en#ent-0531196-9778108,http://cmt_es#ent-7984580-6454643
http://cmt_en#ent-1648737-1451089,http://cmt_es#ent-3761315-2509436
http://cmt_en#ent-1689293-3812948,http://cmt_es#ent-8877404-2617733
http://cmt_en#ent-1830157-2457934,http://cmt_es#ent-0631163-7006593
http://cmt_en#ent-4692979-9121254,http://cmt_es#ent-8701513-4965161
http://cmt_en#ent-6218326-5775008,http://cmt_es#ent-4387366-7102189
http://cmt_en#ent-7312475-4843858,http://cmt_es#ent-4219000-3514538
http://cmt_en#ent-7385850-0767179,http://cmt_es#ent-3754849-8056703
http://cmt_en#ent-7592571-9671564,http://cmt_es#ent-4370159-8606193
http://cmt_en#ent-7669016-6331082,http://cmt_es#ent-1446461-5273541
http://cmt_en#op-0102687-5392298,http://cmt_es#op-2361287-7731841
http://cmt_en#op-0261939-6958814,http://cmt_es#op-6659285-2195902
http://cmt_en#op-0455003-6077543,http://cmt_es#op-8441479-8261009
