Entity1,Entity2
http://cmt_fr#c-0218338-0979990,http://cmt_pt#c-8376130-6378687
http://cmt_fr#c-0743498-8291005,http://cmt_pt#c-2793963-4133936
http://cmt_fr#c-2724520-3587324,http://cmt_pt#c-7932947-0055415
http://cmt_fr#c-3962194-2541126,http://cmt_pt#c-7462500-2349721
http://cmt_fr#c-4497134-7374494,http://cmt_pt#c-7148208-3570710
http://cmt_fr#c-4519548-1775663,http://cmt_pt#c-0659705-1004834
http://cmt_fr#c-5413559-6236750,http://cmt_pt#c-8899081-4132080
http://cmt_fr#c-5579543-7208566,http://cmt_pt#c-0141984-6988652
http://cmt_fr#c-6425593-9645104,http://cmt_pt#c-6654404-9710488
http://cmt_fr#c-6624877-8973875,http://cmt_pt#c-1498775-2764289
http://cmt_fr#c-7635033-5406957,http://cmt_pt#c-6103454-5591664
http://cmt_fr#c-8504144-9632689,http://cmt_pt#c-1195022-1778322
http://cmt_fr#ent-4761498-2044262,http://cmt_pt#ent-6564687-6037568
http://cmt_fr#ent-6818761-0126481,http://cmt_pt#ent-1352346-3282739
http://cmt_fr#ent-7278298-5023089,http://cmt_pt#ent-0644197-6160913
http://cmt_fr#ent-9275526-7398528,http://cmt_pt#ent-1908272-0416725
http://cmt_fr#op-1952954-9976197,http://cmt_pt#op-2746367-4875759
http://cmt_fr#op-2275862-2556166,http://cmt_pt#op-6510466-1708250
http://cmt_fr#op-2528682-2433166,http://cmt_pt#op-7155112-0096874
http://cmt_fr#op-2675499-5395227,http://cmt_pt#op-1234183-7097522
http://cmt_fr#op-3329102-5307912,http://cmt_pt#op-9517020-6504507
http://cmt_fr#op-3330571-4568520,http://cmt_pt#op-5460137-1245372
http://cmt_fr#op-3676239-0431045,http://cmt_pt#op-5488144-4158468
http://cmt_fr#op-3693648-9226478,http://cmt_pt#op-2603095-7051900
http://cmt_fr#op-3731016-4868439,http://cmt_pt#op-7991089-8148208
http://cmt_fr#op-3821472-6823797,http://cmt_pt#op-1365421-7214392
http://cmt_fr#op-4158971-7855975,http://cmt_pt#op-8963398-6546222
http://cmt_fr#op-4660494-3439234,http://cmt_pt#op-9760999-9109319
http://cmt_fr#op-5763161-7747081,http://cmt_pt#op-8802204-7734863
http://cmt_fr#op-6231018-4689091,http://cmt_pt#op-6694831-3793031
http://cmt_fr#op-6499331-0925740,http://cmt_pt#op-9844012-3752266
http://cmt_fr#op-6616205-9179416,http://cmt_pt#op-5069880-9811640
http://cmt_fr#op-6665981-5434654,http://cmt_pt#op-4234220-2157998
http://cmt_fr#op-6987320-6104201,http://cmt_pt#op-2664340-1801609
http://cmt_fr#op-7150942-3233248,http://cmt_pt#op-7580343-5764136
http://cmt_fr#op-7369513-4372573,http://cmt_pt#op-1542767-1179760
