Entity1,Entity2
http://cmt_fr#c-0218338-0979990,http://cmt_ru#c-1200416-1719045
http://cmt_fr#c-0480911-0003886,http://cmt_ru#c-3696081-5776907
http://cmt_fr#c-0712755-6034378,http://cmt_ru#c-6729620-2692521
http://cmt_fr#c-0743498-8291005,http://cmt_ru#c-2009116-5703380
http://cmt_fr#c-0743498-8291005,http://cmt_ru#c-8426382-7561331
http://cmt_fr#c-0752747-4444619,http://cmt_ru#c-8426382-7561331
http://cmt_fr#c-0917731-1974635,http://cmt_ru#c-3253065-3482461
http://cmt_fr#c-2724520-3587324,http://cmt_ru#c-8743351-7621853
http://cmt_fr#c-3407699-0090940,http://cmt_ru#c-5701994-2128478
http://cmt_fr#c-3962194-2541126,http://cmt_ru#c-9572951-5457499
http://cmt_fr#c-4519548-1775663,http://cmt_ru#c-5213926-1265113
http://cmt_fr#c-5413559-6236750,http://cmt_ru#c-0431702-9352529
http://cmt_fr#c-5886865-8763032,http://cmt_ru#c-7977088-3410524
http://cmt_fr#c-5982584-2694829,http://cmt_ru#c-9823120-3643272
http://cmt_fr#c-6425593-9645104,http://cmt_ru#c-8140011-4675339
http://cmt_fr#c-6515186-6166981,http://cmt_ru#c-3696081-5776907
http://cmt_fr#c-6515186-6166981,http://cmt_ru#c-4846170-9804375
http://cmt_fr#c-6624877-8973875,http://cmt_ru#c-1449639-0204386
http://cmt_fr#c-7635033-5406957,http://cmt_ru#c-5374498-2488870
http://cmt_fr#c-7886248-9730062,http://cmt_ru#c-2394876-1588025
http://cmt_fr#c-8504144-9632689,http://cmt_ru#c-0262502-8961327
http://cmt_fr#c-9058566-4923189,http://cmt_ru#c-4901384-1452373
http://cmt_fr#c-9412558-6009078,http://cmt_ru#c-7528802-8793845
http://cmt_fr#ent-5571423-1892362,http://cmt_ru#ent-9926005-7349993
http://cmt_fr#ent-6818761-0126481,http://cmt_ru#ent-1959932-4309624
http://cmt_fr#ent-7278298-5023089,http://cmt_ru#ent-6537351-0595193
http://cmt_fr#ent-8219716-4961949,http://cmt_ru#ent-2284473-2935529
http://cmt_fr#ent-9275526-7398528,http://cmt_ru#ent-5572805-1098327
http://cmt_fr#op-1277237-7526917,http://cmt_ru#op-1115483-1560386
http://cmt_fr#op-1952954-9976197,http://cmt_ru#op-7001176-3880025
http://cmt_fr#op-2275862-2556166,http://cmt_ru#op-0615862-7577846
http://cmt_fr#op-2528682-2433166,http://cmt_ru#op-5741507-4423016
http://cmt_fr#op-2675499-5395227,http://cmt_ru#ent-6537351-0595193
http://cmt_fr#op-3329102-5307912,http://cmt_ru#op-4515232-8202439
http://cmt_fr#op-3330571-4568520,http://cmt_ru#op-3359706-4957607
http://cmt_fr#op-3676239-0431045,http://cmt_ru#op-8861411-7531463
http://cmt_fr#op-3693648-9226478,http://cmt_ru#op-1785777-4419267
http://cmt_fr#op-3693648-9226478,http://cmt_ru#op-9066307-6395104
http://cmt_fr#op-3723632-9161948,http://cmt_ru#op-7551185-7738136
http://cmt_fr#op-3731016-4868439,http://cmt_ru#op-7518378-0077697
http://cmt_fr#op-3821472-6823797,http://cmt_ru#op-0938084-9328951
http://cmt_fr#op-4133318-3983517,http://cmt_ru#op-7793864-4453194
http://cmt_fr#op-4158971-7855975,http://cmt_ru#op-9639505-8922506
http://cmt_fr#op-4935244-2451760,http://cmt_ru#op-3634030-2302616
http://cmt_fr#op-5315618-7011868,http://cmt_ru#op-0421050-1357949
http://cmt_fr#op-6231018-4689091,http://cmt_ru#op-7210644-6009289
http://cmt_fr#op-6616205-9179416,http://cmt_ru#op-1115483-1560386
http://cmt_fr#op-6987320-6104201,http://cmt_ru#op-4515232-8202439
http://cmt_fr#op-7369513-4372573,http://cmt_ru#op-4675140-9473550
http://cmt_fr#op-7941198-0671399,http://cmt_ru#op-1785777-4419267
http://cmt_fr#op-7941198-0671399,http://cmt_ru#op-9066307-6395104
http://cmt_fr#op-8026307-8225502,http://cmt_ru#op-0248595-8765277
http://cmt_fr#op-8126222-6511113,http://cmt_ru#op-0615862-7577846
http://cmt_fr#op-8128023-0460106,http://cmt_ru#op-0734264-3785594
http://cmt_fr#op-8918513-2667584,http://cmt_ru#op-8696871-2036393
http://cmt_fr#op-9859591-8891558,http://cmt_ru#op-4675140-9473550
