Entity1,Entity2
http://cmt_nl#c-0120110-7787945,http://cmt_ru#c-9823120-3643272
http://cmt_nl#c-0236412-8230972,http://cmt_ru#c-8426382-7561331
http://cmt_nl#c-0406770-7176287,http://cmt_ru#c-6544163-8337298
http://cmt_nl#c-0744921-3144577,http://cmt_ru#c-4846170-9804375
http://cmt_nl#c-0770334-7584608,http://cmt_ru#c-4228744-2741801
http://cmt_nl#c-1467412-7387436,http://cmt_ru#c-0262502-8961327
http://cmt_nl#c-1711425-2244009,http://cmt_ru#c-6877591-4235224
http://cmt_nl#c-2893658-5611916,http://cmt_ru#c-7528802-8793845
http://cmt_nl#c-3276253-9620830,http://cmt_ru#c-9572951-5457499
http://cmt_nl#c-3466158-7243163,http://cmt_ru#c-8294812-6660316
http://cmt_nl#c-3510433-8388657,http://cmt_ru#c-8743351-7621853
http://cmt_nl#c-3874111-1901895,http://cmt_ru#c-6368135-0745827
http://cmt_nl#c-4582130-1910383,http://cmt_ru#c-4901384-1452373
http://cmt_nl#c-4695512-1959604,http://cmt_ru#c-8140011-4675339
http://cmt_nl#c-4855446-2072057,http://cmt_ru#c-1449639-0204386
http://cmt_nl#c-4926854-0907990,http://cmt_ru#c-1200416-1719045
http://cmt_nl#c-4951597-8295121,http://cmt_ru#c-6729620-2692521
http://cmt_nl#c-4994957-2932971,http://cmt_ru#c-5374498-2488870
http://cmt_nl#c-5118955-8762087,http://cmt_ru#c-0431702-9352529
http://cmt_nl#c-6073598-2118472,http://cmt_ru#c-5701994-2128478
http://cmt_nl#c-6791107-3060260,http://cmt_ru#c-9394588-5515721
http://cmt_nl#c-6806494-0726611,http://cmt_ru#c-7977088-3410524
http://cmt_nl#c-7849747-5068229,http://cmt_ru#c-5213926-1265113
http://cmt_nl#c-8033257-4796081,http://cmt_ru#c-2009116-5703380
http://cmt_nl#c-8260644-2482124,http://cmt_ru#c-3696081-5776907
http://cmt_nl#c-9264154-4017894,http://cmt_ru#c-7626630-3082011
http://cmt_nl#c-9405134-3973856,http://cmt_ru#c-2394876-1588025
http://cmt_nl#c-9414933-6644081,http://cmt_ru#c-3253065-3482461
http://cmt_nl#c-9971141-2642146,http://cmt_ru#c-2683356-2886427
http://cmt_nl#ent-0153188-2394879,http://cmt_ru#ent-2402171-8040413
http://cmt_nl#ent-0432108-2425971,http://cmt_ru#ent-1959932-4309624
http://cmt_nl#ent-1080357-2529679,http://cmt_ru#ent-5572805-1098327
http://cmt_nl#ent-2204821-8186148,http://cmt_ru#ent-2728158-9834392
http://cmt_nl#ent-3886480-3876987,http://cmt_ru#ent-9926005-7349993
http://cmt_nl#ent-6307800-0367561,http://cmt_ru#ent-2284473-2935529
http://cmt_nl#ent-6646972-0021642,http://cmt_ru#ent-3018977-7157738
http://cmt_nl#ent-7973835-4912921,http://cmt_ru#ent-6537351-0595193
http://cmt_nl#ent-8290813-8218301,http://cmt_ru#ent-6860606-5339895
http://cmt_nl#ent-9559932-7500512,http://cmt_ru#ent-5354486-6390562
http://cmt_nl#op-0256661-7943957,http://cmt_ru#op-6807164-7565888
http://cmt_nl#op-0296431-9591147,http://cmt_ru#op-1083402-1771371
http://cmt_nl#op-0519334-3183285,http://cmt_ru#op-8861411-7531463
http://cmt_nl#op-0523999-6462363,http://cmt_ru#op-7245860-8140291
http://cmt_nl#op-0774476-4286529,http://cmt_ru#op-0938084-9328951
http://cmt_nl#op-0909364-0464715,http://cmt_ru#op-5762496-9298917
http://cmt_nl#op-1143720-6793544,http://cmt_ru#op-0615862-7577846
http://cmt_nl#op-1373374-6702784,http://cmt_ru#op-0918347-8897928
http://cmt_nl#op-1467853-6286543,http://cmt_ru#op-6397821-0257281
http://cmt_nl#op-1584408-3585676,http://cmt_ru#op-4655272-1850333
http://cmt_nl#op-1611615-2768409,http://cmt_ru#op-7551185-7738136
http://cmt_nl#op-1801780-9127544,http://cmt_ru#op-4442065-5567313
http://cmt_nl#op-1876243-7212286,http://cmt_ru#op-3637354-4465637
http://cmt_nl#op-2025749-1022648,http://cmt_ru#op-0248595-8765277
http://cmt_nl#op-2090498-3671647,http://cmt_ru#op-1115483-1560386
http://cmt_nl#op-2364490-1036581,http://cmt_ru#op-3183932-3428720
http://cmt_nl#op-3259179-7759191,http://cmt_ru#op-5182518-6772915
http://cmt_nl#op-3400188-4431436,http://cmt_ru#op-4515232-8202439
http://cmt_nl#op-4146848-9209857,http://cmt_ru#op-9905932-0790027
http://cmt_nl#op-4196454-0996130,http://cmt_ru#op-0899475-8100977
http://cmt_nl#op-4287320-9139181,http://cmt_ru#op-8696871-2036393
http://cmt_nl#op-4408599-6298536,http://cmt_ru#op-4675140-9473550
http://cmt_nl#op-4445321-5207067,http://cmt_ru#op-4269953-4864796
http://cmt_nl#op-4599361-4435013,http://cmt_ru#op-0421050-1357949
http://cmt_nl#op-4936685-8956236,http://cmt_ru#op-7526096-8186272
http://cmt_nl#op-5132912-6035125,http://cmt_ru#op-4077641-6566492
http://cmt_nl#op-5928292-4023284,http://cmt_ru#op-4701777-5185749
http://cmt_nl#op-6074302-8347468,http://cmt_ru#op-1785777-4419267
http://cmt_nl#op-6212167-8679664,http://cmt_ru#op-5741507-4423016
http://cmt_nl#op-6218286-1433549,http://cmt_ru#op-7793864-4453194
http://cmt_nl#op-6828250-7051566,http://cmt_ru#op-2668260-5651787
http://cmt_nl#op-6831750-4006974,http://cmt_ru#op-0734264-3785594
http://cmt_nl#op-6921089-3789460,http://cmt_ru#op-5354277-8977438
http://cmt_nl#op-7140084-4068620,http://cmt_ru#op-7210644-6009289
http://cmt_nl#op-7248083-3019037,http://cmt_ru#op-1571552-8169674
http://cmt_nl#op-7353509-4489319,http://cmt_ru#op-6875576-8732585
http://cmt_nl#op-7371149-4679769,http://cmt_ru#op-7001176-3880025
http://cmt_nl#op-7376349-1700696,http://cmt_ru#op-4144004-4735163
http://cmt_nl#op-7834403-9736912,http://cmt_ru#op-9066307-6395104
http://cmt_nl#op-7846388-0107925,http://cmt_ru#op-7518378-0077697
http://cmt_nl#op-8237122-7939633,http://cmt_ru#op-9330734-2759408
http://cmt_nl#op-8406162-2537450,http://cmt_ru#op-9639505-8922506
http://cmt_nl#op-8438559-9530997,http://cmt_ru#op-3359706-4957607
http://cmt_nl#op-8708592-1030663,http://cmt_ru#op-8712218-3426393
http://cmt_nl#op-9403881-2957804,http://cmt_ru#op-3634030-2302616
http://cmt_nl#op-9425328-4984900,http://cmt_ru#op-5350425-1940234
http://cmt_nl#op-9539250-4477006,http://cmt_ru#op-6800407-6009371
http://cmt_nl#op-9645394-6959392,http://cmt_ru#op-6404605-2933801
http://cmt_nl#op-9991650-4002037,http://cmt_ru#op-2513795-1563947
