Entity1,Entity2
http://cmt_es#c-0082809-9639382,http://conference_de#c-4756237-0913680
http://cmt_es#c-0291674-8366353,http://conference_de#c-1178842-2732173
http://cmt_es#c-0796534-0846894,http://conference_de#c-6828546-9901709
http://cmt_es#c-0967878-0642860,http://conference_de#c-6600254-2450629
http://cmt_es#c-0967878-0642860,http://conference_de#c-1810344-8487780
http://cmt_es#c-2467658-7386622,http://conference_de#c-2852856-4092117
http://cmt_es#c-4213390-7190524,http://conference_de#c-8195847-6754106
http://cmt_es#c-4365365-7749367,http://conference_de#c-5694210-3113803
http://cmt_es#c-4365365-7749367,http://conference_de#c-3560304-9366401
http://cmt_es#c-5045873-3273959,http://conference_de#c-7158328-5483937
http://cmt_es#c-6106355-2983413,http://conference_de#c-7521012-9493261
http://cmt_es#c-8629068-0675820,http://conference_de#c-2807153-3693543
http://cmt_es#c-8924552-1758344,http://conference_de#c-6508590-8109709
http://cmt_es#ent-3761315-2509436,http://conference_de#ent-5299945-7988874
http://cmt_es#op-6140520-7321763,http://conference_de#op-1945545-2946293
http://cmt_es#op-7247666-5945614,http://conference_de#op-4621167-8649272
