Entity1,Entity2
http://cmt_es#c-0082809-9639382,http://conference_fr#c-6304664-2224275
http://cmt_es#c-0291674-8366353,http://conference_fr#c-2137518-8698390
http://cmt_es#c-0796534-0846894,http://conference_fr#c-8814232-6110180
http://cmt_es#c-0967878-0642860,http://conference_fr#c-7927276-9805022
http://cmt_es#c-0967878-0642860,http://conference_fr#c-4135905-5575108
http://cmt_es#c-2467658-7386622,http://conference_fr#c-3535216-5991853
http://cmt_es#c-4213390-7190524,http://conference_fr#c-4658574-0728050
http://cmt_es#c-4365365-7749367,http://conference_fr#c-1144806-8351930
http://cmt_es#c-4365365-7749367,http://conference_fr#c-6346146-1101677
http://cmt_es#c-5045873-3273959,http://conference_fr#c-7424381-8262219
http://cmt_es#c-6106355-2983413,http://conference_fr#c-1108433-7666814
http://cmt_es#c-8629068-0675820,http://conference_fr#c-3342042-5675432
http://cmt_es#c-8924552-1758344,http://conference_fr#c-3916069-3610053
http://cmt_es#ent-3761315-2509436,http://conference_fr#ent-4076038-1597075
http://cmt_es#op-6140520-7321763,http://conference_fr#op-2176272-9168448
http://cmt_es#op-7247666-5945614,http://conference_fr#op-0752860-5946080
