Entity1,Entity2
http://cmt_es#c-0082809-9639382,http://conference_nl#c-9349175-2011648
http://cmt_es#c-0291674-8366353,http://conference_nl#c-2659840-4509255
http://cmt_es#c-0796534-0846894,http://conference_nl#c-1112318-0314497
http://cmt_es#c-0967878-0642860,http://conference_nl#c-2345761-1864938
http://cmt_es#c-0967878-0642860,http://conference_nl#c-5222442-2918055
http://cmt_es#c-2467658-7386622,http://conference_nl#c-3191146-9008295
http://cmt_es#c-4213390-7190524,http://conference_nl#c-6569875-3030942
http://cmt_es#c-4365365-7749367,http://conference_nl#c-0644715-2327122
http://cmt_es#c-4365365-7749367,http://conference_nl#c-5646687-5891880
http://cmt_es#c-5045873-3273959,http://conference_nl#c-3921789-8615832
http://cmt_es#c-6106355-2983413,http://conference_nl#c-3005282-1277741
http://cmt_es#c-8629068-0675820,http://conference_nl#c-8120635-0465682
http://cmt_es#c-8924552-1758344,http://conference_nl#c-0695153-5503923
http://cmt_es#ent-3761315-2509436,http://conference_nl#ent-1616351-7903332
http://cmt_es#op-6140520-7321763,http://conference_nl#op-3945124-1536625
http://cmt_es#op-7247666-5945614,http://conference_nl#op-9369261-3562402
