Entity1,Entity2
http://cmt_es#c-0082809-9639382,http://conference_pt#c-2014336-5772827
http://cmt_es#c-0291674-8366353,http://conference_pt#c-3501542-5501483
http://cmt_es#c-0796534-0846894,http://conference_pt#c-8549844-9843347
http://cmt_es#c-0967878-0642860,http://conference_pt#c-6499046-9989619
http://cmt_es#c-0967878-0642860,http://conference_pt#c-1655999-0944504
http://cmt_es#c-2467658-7386622,http://conference_pt#c-6156245-3934834
http://cmt_es#c-4213390-7190524,http://conference_pt#c-2322954-2524648
http://cmt_es#c-4365365-7749367,http://conference_pt#c-8000530-0228781
http://cmt_es#c-4365365-7749367,http://conference_pt#c-8782693-5434495
http://cmt_es#c-5045873-3273959,http://conference_pt#c-4357948-6662606
http://cmt_es#c-6106355-2983413,http://conference_pt#c-0142053-7833089
http://cmt_es#c-8629068-0675820,http://conference_pt#c-2460278-9171533
http://cmt_es#c-8924552-1758344,http://conference_pt#c-3432072-7674823
http://cmt_es#ent-3761315-2509436,http://conference_pt#ent-1946695-4689150
http://cmt_es#op-6140520-7321763,http://conference_pt#op-9458928-7379513
http://cmt_es#op-7247666-5945614,http://conference_pt#op-8571586-2140858
