Entity1,Entity2
http://cmt_pt#c-0141984-6988652,http://conference_en#c-2974852-3474918
http://cmt_pt#c-1162044-8230678,http://conference_en#c-8170886-3522509
http://cmt_pt#c-1195022-1778322,http://conference_en#c-7121259-3662514
http://cmt_pt#c-2440688-9886376,http://conference_en#c-3013589-3595599
http://cmt_pt#c-4764666-9064958,http://conference_en#c-2446635-7449628
http://cmt_pt#c-5355208-6834878,http://conference_en#c-0975007-5643450
http://cmt_pt#c-6103454-5591664,http://conference_en#c-4444483-2447834
http://cmt_pt#c-6103454-5591664,http://conference_en#c-0918067-8070827
http://cmt_pt#c-6350040-2336355,http://conference_en#c-0513615-7095489
http://cmt_pt#c-6350040-2336355,http://conference_en#c-1432286-4789153
http://cmt_pt#c-6402860-8532598,http://conference_en#c-4401355-0431935
http://cmt_pt#c-7148208-3570710,http://conference_en#c-6525918-2089133
http://cmt_pt#c-8376130-6378687,http://conference_en#c-9312690-4124149
http://cmt_pt#ent-4599058-1382143,http://conference_en#ent-4516568-5595755
http://cmt_pt#op-5491548-2845518,http://conference_en#op-8925105-7780939
http://cmt_pt#op-8802204-7734863,http://conference_en#op-3595853-4712760
