Entity1,Entity2
http://cmt_pt#c-0141984-6988652,http://conference_es#c-8892482-9207793
http://cmt_pt#c-0659705-1004834,http://conference_es#c-3405455-4468785
http://cmt_pt#c-1162044-8230678,http://conference_es#c-3994771-3391922
http://cmt_pt#c-1195022-1778322,http://conference_es#c-5218886-8654522
http://cmt_pt#c-5144018-1782061,http://conference_es#c-8892482-9207793
http://cmt_pt#c-5355208-6834878,http://conference_es#c-7574072-0120800
http://cmt_pt#c-6103454-5591664,http://conference_es#c-1276215-0224704
http://cmt_pt#c-6350040-2336355,http://conference_es#c-4702276-9233250
http://cmt_pt#c-6402860-8532598,http://conference_es#c-3405455-4468785
http://cmt_pt#c-6654404-9710488,http://conference_es#c-5666797-9772060
http://cmt_pt#c-7462500-2349721,http://conference_es#c-8892482-9207793
http://cmt_pt#c-7932947-0055415,http://conference_es#c-1247901-3013750
http://cmt_pt#c-9180185-1434811,http://conference_es#c-9026153-4779682
http://cmt_pt#c-9560978-7045409,http://conference_es#c-1155028-4324420
http://cmt_pt#ent-3826115-1371333,http://conference_es#ent-0847021-6736104
http://cmt_pt#ent-6564687-6037568,http://conference_es#op-5542834-3554914
http://cmt_pt#op-1365421-7214392,http://conference_es#op-5542834-3554914
http://cmt_pt#op-5491548-2845518,http://conference_es#op-3686513-7530040
http://cmt_pt#op-7580343-5764136,http://conference_es#op-0666190-7123783
