Entity1,Entity2
http://cmt_pt#c-0141984-6988652,http://conference_es#c-1824054-7769679
http://cmt_pt#c-1162044-8230678,http://conference_es#c-3994771-3391922
http://cmt_pt#c-1195022-1778322,http://conference_es#c-5218886-8654522
http://cmt_pt#c-2440688-9886376,http://conference_es#c-1360142-4132580
http://cmt_pt#c-4764666-9064958,http://conference_es#c-6041541-8979344
http://cmt_pt#c-5355208-6834878,http://conference_es#c-7574072-0120800
http://cmt_pt#c-6103454-5591664,http://conference_es#c-5652854-2155998
http://cmt_pt#c-6103454-5591664,http://conference_es#c-1276215-0224704
http://cmt_pt#c-6350040-2336355,http://conference_es#c-4702276-9233250
http://cmt_pt#c-6350040-2336355,http://conference_es#c-6786758-9213571
http://cmt_pt#c-6402860-8532598,http://conference_es#c-2484432-1939050
http://cmt_pt#c-7148208-3570710,http://conference_es#c-2091217-6885078
http://cmt_pt#c-8376130-6378687,http://conference_es#c-5309541-8286337
http://cmt_pt#ent-4599058-1382143,http://conference_es#ent-1361169-4869780
http://cmt_pt#op-5491548-2845518,http://conference_es#op-1765713-1781707
http://cmt_pt#op-8802204-7734863,http://conference_es#op-4311401-2181776
