Entity1,Entity2
http://cmt_pt#c-0659705-1004834,http://conference_fr#c-4400687-2335171
http://cmt_pt#c-1195022-1778322,http://conference_fr#c-4658574-0728050
http://cmt_pt#c-1498775-2764289,http://conference_fr#c-7085569-5090093
http://cmt_pt#c-4764666-9064958,http://conference_fr#c-6304664-2224275
http://cmt_pt#c-6103454-5591664,http://conference_fr#c-6346146-1101677
http://cmt_pt#c-6654404-9710488,http://conference_fr#c-7998240-1701348
http://cmt_pt#c-6903790-9806964,http://conference_fr#c-8831400-7733012
http://cmt_pt#c-7018833-2528219,http://conference_fr#c-4658574-0728050
http://cmt_pt#c-7148208-3570710,http://conference_fr#c-3342042-5675432
http://cmt_pt#c-7932947-0055415,http://conference_fr#c-6637876-2393998
http://cmt_pt#c-9560978-7045409,http://conference_fr#c-7407680-8155595
http://cmt_pt#op-6694831-3793031,http://conference_fr#op-0949862-3713686
http://cmt_pt#op-7580343-5764136,http://conference_fr#op-5735678-0526614
