Entity1,Entity2
http://cmt_pt#c-0141984-6988652,http://conference_fr#c-3916069-3610053
http://cmt_pt#c-1162044-8230678,http://conference_fr#c-2137518-8698390
http://cmt_pt#c-1195022-1778322,http://conference_fr#c-4658574-0728050
http://cmt_pt#c-2440688-9886376,http://conference_fr#c-8814232-6110180
http://cmt_pt#c-4764666-9064958,http://conference_fr#c-6304664-2224275
http://cmt_pt#c-5355208-6834878,http://conference_fr#c-3535216-5991853
http://cmt_pt#c-6103454-5591664,http://conference_fr#c-1144806-8351930
http://cmt_pt#c-6103454-5591664,http://conference_fr#c-6346146-1101677
http://cmt_pt#c-6350040-2336355,http://conference_fr#c-7927276-9805022
http://cmt_pt#c-6350040-2336355,http://conference_fr#c-4135905-5575108
http://cmt_pt#c-6402860-8532598,http://conference_fr#c-7424381-8262219
http://cmt_pt#c-7148208-3570710,http://conference_fr#c-3342042-5675432
http://cmt_pt#c-8376130-6378687,http://conference_fr#c-1108433-7666814
http://cmt_pt#ent-4599058-1382143,http://conference_fr#ent-4076038-1597075
http://cmt_pt#op-5491548-2845518,http://conference_fr#op-2176272-9168448
http://cmt_pt#op-8802204-7734863,http://conference_fr#op-0752860-5946080
