Entity1,Entity2
Meta-Reviewer,Reviewer
Meta-Reviewer,Accepted_contribution
Meta-Reviewer,Program_committee
Reviewer,Passive_conference_participant
Reviewer,Reviewer
Reviewer,Regular_contribution
Reviewer,Review
Reviewer,Publisher
Decision,Passive_conference_participant
Decision,Reviewed_contribution
Decision,Late_paid_applicant
Person,Person
Person,Review_expertise
Person,Conference_contributor
Person,Abstract
Person,Poster
Person,Camera_ready_contribution
Person,Reviewed_contribution
Person,Early_paid_applicant
Document,Passive_conference_participant
Document,Review_expertise
Document,Contribution_1th-author
Document,Contribution_co-author
Document,Information_for_participants
Document,Conference_applicant
Document,Conference_announcement
Document,Reviewed_contribution
Document,Review_preference
Bid,Steering_committee
Bid,Conference
Bid,Invited_talk
Bid,Review
Conference,Reviewer
Conference,Conference_contribution
Conference,Conference_proceedings
Conference,Conference
Conference,Registeered_applicant
Conference,Conference_www
ConferenceChair,Conference
ConferenceMember,Reviewer
ConferenceMember,Important_dates
ConferenceMember,Conference_document
ConferenceMember,Organization
ConferenceMember,Conference
ConferenceMember,Paper
ConferenceMember,Tutorial
ConferenceMember,Track-workshop_chair
AssociatedChair,Call_for_paper
AssociatedChair,Early_paid_applicant
ProgramCommitteeMember,Committee_member
ProgramCommitteeMember,Program_committee
ProgramCommitteeMember,Chair
AuthorNotReviewer,Conference_participant
AuthorNotReviewer,Review_expertise
AuthorNotReviewer,Information_for_participants
AuthorNotReviewer,Conference_part
AuthorNotReviewer,Chair
AuthorNotReviewer,Track
AuthorNotReviewer,Topic
SubjectArea,Committee_member
SubjectArea,Paper
SubjectArea,Reviewed_contribution
SubjectArea,Review
ExternalReviewer,Written_contribution
ExternalReviewer,Early_paid_applicant
Acceptance,Information_for_participants
Acceptance,Review
Acceptance,Call_for_participation
Review,Reviewer
Review,Regular_contribution
Review,Presentation
Review,Review
Paper,Conference_document
Paper,Organizing_committee
Paper,Conference
Paper,Paper
Paper,Track
Paper,Review
Author,Registeered_applicant
User,Reviewer
User,Co-chair
User,Conference_document
User,Organizing_committee
User,Presentation
User,Review
User,Paid_applicant
User,Track-workshop_chair
User,Review_preference
Co-author,Organizer
PaperAbstract,Conference_document
PaperAbstract,Conference_www
PaperFullVersion,Conference_contributor
PaperFullVersion,Conference
