Entity1,Entity2
cmt:Conference,conference:Conference_volume
cmt:Preference,conference:Review_preference
cmt:Author,conference:Regular_author
cmt:Person,conference:Person
cmt:email,conference:has_an_email
cmt:Co-author,conference:Contribution_co-author
cmt:PaperAbstract,conference:Abstract
cmt:Document,conference:Conference_document
cmt:Review,conference:Review
cmt:Conference,conference:Conference
cmt:ProgramCommittee,conference:Program_committee
cmt:Chairman,conference:Chair
cmt:SubjectArea,conference:Topic
cmt:assignedByReviewer,conference:invited_by
cmt:assignExternalReviewer,conference:invites_co-reviewers
