Alignment,Precision,Recall,F1
anatomy/mouse-human-suite/component/source_no_validation,56.68,90.37,69.67
anatomy/mouse-human-suite/component/source,59.75,90.96,72.12
anatomy/mouse-human-suite/component/target_no_validation,58.47,93.34,71.90
anatomy/mouse-human-suite/component/target,61.55,93.67,74.29
anatomy/mouse-human-suite/component/no_validation,91.65,87.60,89.58
anatomy/mouse-human-suite/component/,92.33,88.13,90.18
mse/MaterialInformation-MatOnto/component/source_no_validation,50.31,53.64,51.92
mse/MaterialInformation-MatOnto/component/source,60.00,50.66,54.94
mse/MaterialInformation-MatOnto/component/target_no_validation,53.22,73.84,61.86
mse/MaterialInformation-MatOnto/component/target,65.25,76.49,70.43
mse/MaterialInformation-MatOnto/component/no_validation,72.64,50.99,59.92
mse/MaterialInformation-MatOnto/component/,80.77,48.68,60.74
mse/MaterialInformationReduced-MatOnto/component/source_no_validation,16.67,13.04,14.63
mse/MaterialInformationReduced-MatOnto/component/source,25.00,13.04,17.14
mse/MaterialInformationReduced-MatOnto/component/target_no_validation,8.82,13.04,10.53
mse/MaterialInformationReduced-MatOnto/component/target,17.65,13.04,15.00
mse/MaterialInformationReduced-MatOnto/component/no_validation,23.08,13.04,16.67
mse/MaterialInformationReduced-MatOnto/component/,37.50,13.04,19.35
mse/MaterialInformation-EMMO/component/source_no_validation,79.45,92.06,85.29
mse/MaterialInformation-EMMO/component/source,82.61,90.48,86.36
mse/MaterialInformation-EMMO/component/target_no_validation,81.69,92.06,86.57
mse/MaterialInformation-EMMO/component/target,85.07,90.48,87.69
mse/MaterialInformation-EMMO/component/no_validation,92.06,92.06,92.06
mse/MaterialInformation-EMMO/component/,93.44,90.48,91.94
conference/cmt-conference/component/source_no_validation,70.00,46.67,56.00
conference/cmt-conference/component/source,70.00,46.67,56.00
conference/cmt-conference/component/target_no_validation,70.00,46.67,56.00
conference/cmt-conference/component/target,70.00,46.67,56.00
conference/cmt-conference/component/no_validation,70.00,46.67,56.00
conference/cmt-conference/component/,70.00,46.67,56.00
conference/cmt-confof/component/source_no_validation,71.43,31.25,43.48
conference/cmt-confof/component/source,71.43,31.25,43.48
conference/cmt-confof/component/target_no_validation,62.50,31.25,41.67
conference/cmt-confof/component/target,62.50,31.25,41.67
conference/cmt-confof/component/no_validation,71.43,31.25,43.48
conference/cmt-confof/component/,71.43,31.25,43.48
conference/cmt-edas/component/source_no_validation,80.00,61.54,69.57
conference/cmt-edas/component/source,80.00,61.54,69.57
conference/cmt-edas/component/target_no_validation,72.73,61.54,66.67
conference/cmt-edas/component/target,72.73,61.54,66.67
conference/cmt-edas/component/no_validation,80.00,61.54,69.57
conference/cmt-edas/component/,80.00,61.54,69.57
conference/cmt-ekaw/component/source_no_validation,60.00,54.55,57.14
conference/cmt-ekaw/component/source,60.00,54.55,57.14
conference/cmt-ekaw/component/target_no_validation,60.00,54.55,57.14
conference/cmt-ekaw/component/target,60.00,54.55,57.14
conference/cmt-ekaw/component/no_validation,66.67,54.55,60.00
conference/cmt-ekaw/component/,66.67,54.55,60.00
conference/cmt-iasted/component/source_no_validation,57.14,100.00,72.73
conference/cmt-iasted/component/source,57.14,100.00,72.73
conference/cmt-iasted/component/target_no_validation,57.14,100.00,72.73
conference/cmt-iasted/component/target,57.14,100.00,72.73
conference/cmt-iasted/component/no_validation,57.14,100.00,72.73
conference/cmt-iasted/component/,57.14,100.00,72.73
conference/cmt-sigkdd/component/source_no_validation,68.75,91.67,78.57
conference/cmt-sigkdd/component/source,68.75,91.67,78.57
conference/cmt-sigkdd/component/target_no_validation,73.33,91.67,81.48
conference/cmt-sigkdd/component/target,73.33,91.67,81.48
conference/cmt-sigkdd/component/no_validation,78.57,91.67,84.62
conference/cmt-sigkdd/component/,78.57,91.67,84.62
conference/conference-confof/component/source_no_validation,76.92,66.67,71.43
conference/conference-confof/component/source,76.92,66.67,71.43
conference/conference-confof/component/target_no_validation,76.92,66.67,71.43
conference/conference-confof/component/target,76.92,66.67,71.43
conference/conference-confof/component/no_validation,76.92,66.67,71.43
conference/conference-confof/component/,76.92,66.67,71.43
conference/conference-edas/component/source_no_validation,64.29,52.94,58.06
conference/conference-edas/component/source,64.29,52.94,58.06
conference/conference-edas/component/target_no_validation,69.23,52.94,60.00
conference/conference-edas/component/target,69.23,52.94,60.00
conference/conference-edas/component/no_validation,69.23,52.94,60.00
conference/conference-edas/component/,69.23,52.94,60.00
conference/conference-ekaw/component/source_no_validation,63.16,48.00,54.55
conference/conference-ekaw/component/source,63.16,48.00,54.55
conference/conference-ekaw/component/target_no_validation,60.00,48.00,53.33
conference/conference-ekaw/component/target,60.00,48.00,53.33
conference/conference-ekaw/component/no_validation,66.67,48.00,55.81
conference/conference-ekaw/component/,66.67,48.00,55.81
conference/conference-iasted/component/source_no_validation,66.67,42.86,52.17
conference/conference-iasted/component/source,66.67,42.86,52.17
conference/conference-iasted/component/target_no_validation,66.67,42.86,52.17
conference/conference-iasted/component/target,66.67,42.86,52.17
conference/conference-iasted/component/no_validation,75.00,42.86,54.55
conference/conference-iasted/component/,75.00,42.86,54.55
conference/conference-sigkdd/component/source_no_validation,78.57,73.33,75.86
conference/conference-sigkdd/component/source,78.57,73.33,75.86
conference/conference-sigkdd/component/target_no_validation,68.75,73.33,70.97
conference/conference-sigkdd/component/target,68.75,73.33,70.97
conference/conference-sigkdd/component/no_validation,84.62,73.33,78.57
conference/conference-sigkdd/component/,84.62,73.33,78.57
conference/confof-edas/component/source_no_validation,55.00,57.89,56.41
conference/confof-edas/component/source,55.00,57.89,56.41
conference/confof-edas/component/target_no_validation,57.89,57.89,57.89
conference/confof-edas/component/target,57.89,57.89,57.89
conference/confof-edas/component/no_validation,57.89,57.89,57.89
conference/confof-edas/component/,57.89,57.89,57.89
conference/confof-ekaw/component/source_no_validation,82.35,70.00,75.68
