Alignment,Precision,Recall,F1
conference/cmt-conference/component/source_no_validation,63.64,46.67,53.85
conference/cmt-conference/component/source,63.64,46.67,53.85
conference/cmt-conference/component/target_no_validation,70.00,46.67,56.00
conference/cmt-conference/component/target,70.00,46.67,56.00
conference/cmt-conference/component/no_validation,70.00,46.67,56.00
conference/cmt-conference/component/,70.00,46.67,56.00
conference/cmt-confof/component/source_no_validation,71.43,31.25,43.48
conference/cmt-confof/component/source,71.43,31.25,43.48
conference/cmt-confof/component/target_no_validation,62.50,31.25,41.67
conference/cmt-confof/component/target,62.50,31.25,41.67
conference/cmt-confof/component/no_validation,71.43,31.25,43.48
conference/cmt-confof/component/,71.43,31.25,43.48
conference/cmt-edas/component/source_no_validation,72.73,61.54,66.67
conference/cmt-edas/component/source,72.73,61.54,66.67
conference/cmt-edas/component/target_no_validation,66.67,61.54,64.00
conference/cmt-edas/component/target,66.67,61.54,64.00
conference/cmt-edas/component/no_validation,72.73,61.54,66.67
conference/cmt-edas/component/,72.73,61.54,66.67
conference/cmt-ekaw/component/source_no_validation,70.00,63.64,66.67
conference/cmt-ekaw/component/source,70.00,63.64,66.67
conference/cmt-ekaw/component/target_no_validation,63.64,63.64,63.64
conference/cmt-ekaw/component/target,63.64,63.64,63.64
conference/cmt-ekaw/component/no_validation,70.00,63.64,66.67
conference/cmt-ekaw/component/,70.00,63.64,66.67
conference/cmt-iasted/component/source_no_validation,57.14,100.00,72.73
conference/cmt-iasted/component/source,57.14,100.00,72.73
conference/cmt-iasted/component/target_no_validation,57.14,100.00,72.73
conference/cmt-iasted/component/target,57.14,100.00,72.73
conference/cmt-iasted/component/no_validation,57.14,100.00,72.73
conference/cmt-iasted/component/,57.14,100.00,72.73
conference/cmt-sigkdd/component/source_no_validation,68.75,91.67,78.57
conference/cmt-sigkdd/component/source,68.75,91.67,78.57
conference/cmt-sigkdd/component/target_no_validation,73.33,91.67,81.48
conference/cmt-sigkdd/component/target,73.33,91.67,81.48
conference/cmt-sigkdd/component/no_validation,78.57,91.67,84.62
conference/cmt-sigkdd/component/,78.57,91.67,84.62
conference/conference-confof/component/source_no_validation,83.33,66.67,74.07
conference/conference-confof/component/source,83.33,66.67,74.07
conference/conference-confof/component/target_no_validation,83.33,66.67,74.07
conference/conference-confof/component/target,83.33,66.67,74.07
conference/conference-confof/component/no_validation,83.33,66.67,74.07
conference/conference-confof/component/,83.33,66.67,74.07
conference/conference-edas/component/source_no_validation,73.33,64.71,68.75
conference/conference-edas/component/source,73.33,64.71,68.75
conference/conference-edas/component/target_no_validation,73.33,64.71,68.75
conference/conference-edas/component/target,73.33,64.71,68.75
conference/conference-edas/component/no_validation,73.33,64.71,68.75
conference/conference-edas/component/,73.33,64.71,68.75
conference/conference-ekaw/component/source_no_validation,64.71,44.00,52.38
conference/conference-ekaw/component/source,64.71,44.00,52.38
conference/conference-ekaw/component/target_no_validation,61.11,44.00,51.16
conference/conference-ekaw/component/target,61.11,44.00,51.16
conference/conference-ekaw/component/no_validation,68.75,44.00,53.66
conference/conference-ekaw/component/,68.75,44.00,53.66
conference/conference-iasted/component/source_no_validation,55.56,35.71,43.48
conference/conference-iasted/component/source,55.56,35.71,43.48
conference/conference-iasted/component/target_no_validation,66.67,42.86,52.17
conference/conference-iasted/component/target,66.67,42.86,52.17
conference/conference-iasted/component/no_validation,62.50,35.71,45.45
conference/conference-iasted/component/,62.50,35.71,45.45
conference/conference-sigkdd/component/source_no_validation,78.57,73.33,75.86
conference/conference-sigkdd/component/source,78.57,73.33,75.86
conference/conference-sigkdd/component/target_no_validation,68.75,73.33,70.97
conference/conference-sigkdd/component/target,68.75,73.33,70.97
conference/conference-sigkdd/component/no_validation,84.62,73.33,78.57
conference/conference-sigkdd/component/,84.62,73.33,78.57
conference/confof-edas/component/source_no_validation,60.00,63.16,61.54
conference/confof-edas/component/source,60.00,63.16,61.54
conference/confof-edas/component/target_no_validation,60.00,63.16,61.54
conference/confof-edas/component/target,60.00,63.16,61.54
conference/confof-edas/component/no_validation,60.00,63.16,61.54
conference/confof-edas/component/,60.00,63.16,61.54
conference/confof-ekaw/component/source_no_validation,82.35,70.00,75.68
conference/confof-ekaw/component/source,82.35,70.00,75.68
conference/confof-ekaw/component/target_no_validation,78.95,75.00,76.92
conference/confof-ekaw/component/target,78.95,75.00,76.92
conference/confof-ekaw/component/no_validation,87.50,70.00,77.78
conference/confof-ekaw/component/,87.50,70.00,77.78
conference/confof-iasted/component/source_no_validation,60.00,66.67,63.16
conference/confof-iasted/component/source,55.56,55.56,55.56
conference/confof-iasted/component/target_no_validation,66.67,66.67,66.67
conference/confof-iasted/component/target,66.67,66.67,66.67
conference/confof-iasted/component/no_validation,66.67,66.67,66.67
conference/confof-iasted/component/,62.50,55.56,58.82
conference/confof-sigkdd/component/source_no_validation,100.00,71.43,83.33
conference/confof-sigkdd/component/source,100.00,71.43,83.33
conference/confof-sigkdd/component/target_no_validation,83.33,71.43,76.92
conference/confof-sigkdd/component/target,83.33,71.43,76.92
conference/confof-sigkdd/component/no_validation,100.00,71.43,83.33
conference/confof-sigkdd/component/,100.00,71.43,83.33
conference/edas-ekaw/component/source_no_validation,72.22,56.52,63.41
conference/edas-ekaw/component/source,72.22,56.52,63.41
conference/edas-ekaw/component/target_no_validation,59.09,56.52,57.78
conference/edas-ekaw/component/target,65.00,56.52,60.47
conference/edas-ekaw/component/no_validation,72.22,56.52,63.41
conference/edas-ekaw/component/,76.47,56.52,65.00
conference/edas-iasted/component/source_no_validation,69.23,47.37,56.25
conference/edas-iasted/component/source,69.23,47.37,56.25
conference/edas-iasted/component/target_no_validation,64.29,47.37,54.55
conference/edas-iasted/component/target,64.29,47.37,54.55
conference/edas-iasted/component/no_validation,69.23,47.37,56.25
