Alignment,Precision,Recall,F1
conference/cmt-conference/component/-1.0source,60.00,20.00,30.00
conference/cmt-conference/component/-1.0target,60.00,20.00,30.00
conference/cmt-conference/component/-1.0,60.00,20.00,30.00
conference/cmt-conference/component/-0.9source,34.29,80.00,48.00
conference/cmt-conference/component/-0.9target,20.83,66.67,31.75
conference/cmt-conference/component/-0.9,45.45,66.67,54.05
conference/cmt-conference/component/-0.8source,15.79,80.00,26.37
conference/cmt-conference/component/-0.8target,9.80,66.67,17.09
conference/cmt-conference/component/-0.8,33.33,60.00,42.86
conference/cmt-conference/component/-0.7source,14.10,73.33,23.66
conference/cmt-conference/component/-0.7target,9.80,66.67,17.09
conference/cmt-conference/component/-0.7,33.33,60.00,42.86
conference/cmt-conference/component/-0.6source,14.47,73.33,24.18
conference/cmt-conference/component/-0.6target,9.62,66.67,16.81
conference/cmt-conference/component/-0.6,33.33,60.00,42.86
conference/cmt-conference/component/-0.5source,14.29,73.33,23.91
conference/cmt-conference/component/-0.5target,9.52,66.67,16.67
conference/cmt-conference/component/-0.5,34.62,60.00,43.90
conference/cmt-conference/component/-0.4source,13.92,73.33,23.40
conference/cmt-conference/component/-0.4target,9.62,66.67,16.81
conference/cmt-conference/component/-0.4,33.33,60.00,42.86
conference/cmt-conference/component/-0.3source,14.47,73.33,24.18
conference/cmt-conference/component/-0.3target,9.52,66.67,16.67
conference/cmt-conference/component/-0.3,33.33,60.00,42.86
conference/cmt-conference/component/-0.2source,15.58,80.00,26.09
conference/cmt-conference/component/-0.2target,9.90,66.67,17.24
conference/cmt-conference/component/-0.2,33.33,60.00,42.86
conference/cmt-conference/component/-0.1source,15.38,80.00,25.81
conference/cmt-conference/component/-0.1target,9.52,66.67,16.67
conference/cmt-conference/component/-0.1,33.33,60.00,42.86
