LLM,Alignment,Precision,Recall,F1
gpt-3.5-turbo,conference/cmt-conference/component/source_no_validation,20.37,73.33,31.88
gpt-3.5-turbo,conference/cmt-conference/component/source,50.00,73.33,59.46
gpt-3.5-turbo,conference/cmt-conference/component/target_no_validation,18.84,86.67,30.95
gpt-3.5-turbo,conference/cmt-conference/component/target,29.63,53.33,38.10
gpt-3.5-turbo,conference/cmt-conference/component/no_validation,35.71,66.67,46.51
gpt-3.5-turbo,conference/cmt-conference/component/,58.33,46.67,51.85
phi3:3.8b,conference/cmt-conference/component/source_no_validation,15.07,73.33,25.00
phi3:3.8b,conference/cmt-conference/component/source,38.89,46.67,42.42
phi3:3.8b,conference/cmt-conference/component/target_no_validation,14.89,93.33,25.69
phi3:3.8b,conference/cmt-conference/component/target,55.00,73.33,62.86
phi3:3.8b,conference/cmt-conference/component/no_validation,33.33,73.33,45.83
phi3:3.8b,conference/cmt-conference/component/,54.55,40.00,46.15
mistral:7b,conference/cmt-conference/component/source_no_validation,11.43,53.33,18.82
mistral:7b,conference/cmt-conference/component/source,46.15,40.00,42.86
mistral:7b,conference/cmt-conference/component/target_no_validation,12.20,66.67,20.62
mistral:7b,conference/cmt-conference/component/target,31.25,33.33,32.26
mistral:7b,conference/cmt-conference/component/no_validation,27.59,53.33,36.36
mistral:7b,conference/cmt-conference/component/,71.43,33.33,45.45
gpt-3.5-turbo,anatomy/mouse-human-suite/component/source_no_validation,50.50,93.27,65.52
gpt-3.5-turbo,anatomy/mouse-human-suite/component/source,69.78,91.23,79.07
gpt-3.5-turbo,anatomy/mouse-human-suite/component/target_no_validation,50.23,94.13,65.50
gpt-3.5-turbo,anatomy/mouse-human-suite/component/target,78.62,89.97,83.91
gpt-3.5-turbo,anatomy/mouse-human-suite/component/no_validation,89.06,90.77,89.91
gpt-3.5-turbo,anatomy/mouse-human-suite/component/,94.70,86.02,90.15
gpt-3.5-turbo,conference/cmt-conference/component/source_no_validation,19.23,66.67,29.85
gpt-3.5-turbo,conference/cmt-conference/component/source,61.54,53.33,57.14
gpt-3.5-turbo,conference/cmt-conference/component/target_no_validation,17.46,73.33,28.21
gpt-3.5-turbo,conference/cmt-conference/component/target,35.00,46.67,40.00
gpt-3.5-turbo,conference/cmt-conference/component/no_validation,30.77,53.33,39.02
gpt-3.5-turbo,conference/cmt-conference/component/,66.67,40.00,50.00
gpt-3.5-turbo,conference/cmt-conference/component/source_no_validation,19.23,66.67,29.85
gpt-3.5-turbo,conference/cmt-conference/component/source,66.67,53.33,59.26
gpt-3.5-turbo,conference/cmt-conference/component/target_no_validation,17.46,73.33,28.21
gpt-3.5-turbo,conference/cmt-conference/component/target,33.33,46.67,38.89
gpt-3.5-turbo,conference/cmt-conference/component/no_validation,30.77,53.33,39.02
gpt-3.5-turbo,conference/cmt-conference/component/,66.67,40.00,50.00
gpt-3.5-turbo,conference/cmt-conference/component/source_no_validation,19.23,66.67,29.85
gpt-3.5-turbo,conference/cmt-conference/component/source,66.67,53.33,59.26
gpt-3.5-turbo,conference/cmt-conference/component/target_no_validation,17.46,73.33,28.21
gpt-3.5-turbo,conference/cmt-conference/component/target,35.00,46.67,40.00
gpt-3.5-turbo,conference/cmt-conference/component/no_validation,30.77,53.33,39.02
gpt-3.5-turbo,conference/cmt-conference/component/,66.67,40.00,50.00
